Month;Precipitation;Temperature;Relative humidity
2018/01;149.8;24.55;77.28
2018/02;110.4;23.78;77.16
2018/03;116.6;22.99;79.94
2018/04;88.8;23.14;81.22
2018/05;91.8;4.58;82.31
2018/06;145.2;13.28;86.15
2018/07;167.6;14.52;87.67
2018/08;147.2;14.08;82.36
2018/09;147.0;19.11;83.8
2018/10;91.6;20.03;77.69
2018/11;129.2;22.58;74.61
2018/12;61.4;23.98;73.18
