Month;Precipitation;Temperature;Relative humidity
2023/01;52.4;26.2;70.7
2023/02;113.7;24.9;74.2
2023/03;95.3;25.7;77
2023/04;34.9;20.7;76.4
2023/05;114.8;18.3;84
2023/06;254.8;16.4;83.3
2023/07;215;15.4;84.3
2023/08;79.6;16.8;77.5
2023/09;447.3;18.6;84.3
2023/10;121.7;19.2;78.9
2023/11;324.9;21.5;79.1
2023/12;92;24.6;75.8
