Month;Precipitation;Temperature;Relative humidity
2020/01;81.6;25.32;70.41
2020/02;83.0;24.81;68.1
2020/03;23.4;24.48;71.13
2020/04;30.8;20.44;70.94
2020/05;132.2;16.83;74.98
2020/06;235.2;16.45;79.76
2020/07;262.0;13.73;78.43
2020/08;78.4;16.1;75.38
2020/09;230.2;16.87;81.81
2020/10;97.0;19.36;76.87
2020/11;52.4;21.7;72.57
2020/12;104.4;23.86;71.45
