Month;Precipitation;Temperature;Relative humidity
2021/01;129.0;24.93;70.98
2021/02;30.2;24.56;72.08
2021/03;79.2;23.69;77.53
2021/04;27.0;21.77;71.68
2021/05;164.8;15.51;76.38
2021/06;173.2;14.38;81.87
2021/07;46.6;13.59;77.22
2021/08;135.0;16.54;80.21
2021/09;202.2;18.21;79.4
2021/10;60.4;19.68;71.96
2021/11;85.0;21.9;69.75
2021/12;88.4;23.12;72.17
