Date;Precipitation;Temperature;Relative humidity
2017-01-01;0.0;27.349999999999998;75.91666666666667
2017-01-02;0.0;27.241666666666664;79.79166666666667
2017-01-03;0.0;27.475000000000005;75.79166666666667
2017-01-04;78.8;25.208333333333332;85.66666666666667
2017-01-05;10.8;24.720833333333335;86.5
2017-01-06;0.2;23.874999999999996;80.04166666666667
2017-01-07;0.0;24.149999999999995;78.83333333333333
2017-01-08;0.0;27.483333333333324;76.75
2017-01-09;8.0;26.829166666666662;81.0
2017-01-10;41.39999999999999;25.237500000000008;83.625
2017-01-11;3.6000000000000005;25.0625;83.58333333333333
2017-01-12;0.0;24.695833333333336;75.45833333333333
2017-01-13;0.0;25.72083333333333;70.41666666666667
2017-01-14;0.2;26.533333333333335;79.20833333333333
2017-01-15;0.0;26.71666666666668;80.95833333333333
2017-01-16;25.0;26.32083333333334;80.75
2017-01-17;14.200000000000001;24.404166666666665;85.20833333333333
2017-01-18;0.0;26.004166666666663;77.625
2017-01-19;0.0;24.149999999999995;71.95833333333333
2017-01-20;0.0;24.066666666666666;69.95833333333333
2017-01-21;0.0;24.129166666666666;71.66666666666667
2017-01-22;0.0;25.024999999999995;74.91666666666667
2017-01-23;0.0;26.062500000000004;79.16666666666667
2017-01-24;0.0;27.000000000000004;74.79166666666667
2017-01-25;6.4;24.558333333333334;81.58333333333333
2017-01-26;1.2;22.50833333333333;80.125
2017-01-27;0.0;21.999999999999996;67.20833333333333
2017-01-28;0.0;22.970833333333335;73.375
2017-01-29;0.0;25.433333333333326;75.95833333333333
2017-01-30;0.0;27.199999999999992;72.45833333333333
2017-01-31;5.0;26.454166666666662;78.08333333333333
2017-02-01;0.0;25.712500000000002;76.75
2017-02-02;0.0;26.783333333333342;76.91666666666667
2017-02-03;4.0;25.933333333333334;83.08333333333333
2017-02-04;0.0;27.73333333333333;71.375
2017-02-05;0.0;27.72499999999999;71.375
2017-02-06;0.0;24.20416666666667;68.0
2017-02-07;0.0;22.6875;69.20833333333333
2017-02-08;0.0;23.21666666666667;66.66666666666667
2017-02-09;0.0;25.820833333333336;68.91666666666667
2017-02-10;0.0;27.283333333333335;68.45833333333333
2017-02-11;2.2;23.983333333333334;85.25
2017-02-12;2.2;25.474999999999998;82.04166666666667
2017-02-13;8.4;25.400000000000006;86.79166666666667
2017-02-14;3.8000000000000003;25.379166666666666;87.25
2017-02-15;9.0;26.662499999999998;82.66666666666667
2017-02-16;8.0;26.866666666666674;82.45833333333333
2017-02-17;0.2;25.34583333333333;83.375
2017-02-18;0.0;28.883333333333336;71.66666666666667
2017-02-19;3.8;27.76666666666667;78.5
2017-02-20;0.2;27.487499999999997;81.33333333333333
2017-02-21;1.0;27.695833333333336;82.04166666666667
2017-02-22;0.0;26.645833333333332;80.91666666666667
2017-02-23;0.0;26.29583333333333;71.70833333333333
2017-02-24;0.2;26.620833333333337;79.70833333333333
2017-02-25;0.0;26.558333333333334;79.91666666666667
2017-02-26;0.0;26.454166666666666;78.29166666666667
2017-02-27;0.0;26.341666666666665;74.79166666666667
2017-02-28;0.0;26.895833333333332;74.66666666666667
2017-03-01;0.0;27.02916666666667;77.125
2017-03-02;0.0;28.745833333333334;69.125
2017-03-03;3.8000000000000003;28.316666666666666;76.33333333333333
2017-03-04;0.4;25.537499999999998;87.16666666666667
2017-03-05;21.599999999999998;23.850000000000005;91.95833333333333
2017-03-06;0.0;24.591666666666665;79.58333333333333
2017-03-07;0.0;25.400000000000006;79.41666666666667
2017-03-08;0.0;26.587499999999995;74.54166666666667
2017-03-09;16.6;27.366666666666664;72.75
2017-03-10;34.6;23.045833333333334;89.875
2017-03-11;0.0;22.54166666666666;79.45833333333333
2017-03-12;73.60000000000001;22.2375;89.25
2017-03-13;0.0;19.74166666666667;65.875
2017-03-14;0.0;20.087500000000002;71.625
2017-03-15;0.0;24.27083333333333;74.91666666666667
2017-03-16;9.399999999999999;23.795833333333334;85.83333333333333
2017-03-17;0.2;19.170833333333327;72.875
2017-03-18;0.0;18.941666666666666;76.95833333333333
2017-03-19;0.0;20.562500000000004;81.16666666666667
2017-03-20;0.0;21.775000000000002;77.04166666666667
2017-03-21;0.0;22.745833333333334;77.25
2017-03-22;0.0;23.595833333333335;76.41666666666667
2017-03-23;0.0;23.32083333333334;78.08333333333333
2017-03-24;0.0;22.450000000000003;78.20833333333333
2017-03-25;2.0;22.233333333333334;86.75
2017-03-26;0.0;23.116666666666664;81.08333333333333
2017-03-27;0.0;23.108333333333334;82.875
2017-03-28;0.0;22.516666666666666;76.45833333333333
2017-03-29;0.0;22.404166666666665;73.70833333333333
2017-03-30;0.0;21.945833333333336;74.125
2017-03-31;0.0;21.899999999999995;68.83333333333333
2017-04-01;0.0;21.9375;71.875
2017-04-02;0.0;21.999999999999996;77.41666666666667
2017-04-03;0.0;23.712500000000002;75.16666666666667
2017-04-04;0.0;24.308333333333334;75.04166666666667
2017-04-05;0.0;24.970833333333335;74.25
2017-04-06;0.0;23.2625;77.83333333333333
2017-04-07;0.0;21.849999999999998;75.0
2017-04-08;0.0;23.774999999999995;77.0
2017-04-09;1.4000000000000001;23.925;84.83333333333333
2017-04-10;10.2;25.54166666666667;78.16666666666667
2017-04-11;16.2;21.24166666666667;78.91666666666667
2017-04-12;0.0;19.141666666666662;70.83333333333333
2017-04-13;0.0;18.2;75.33333333333333
2017-04-14;0.0;20.029166666666665;81.70833333333333
2017-04-15;0.6000000000000001;21.325000000000003;91.20833333333333
2017-04-16;7.400000000000001;19.599999999999998;94.41666666666667
