iter	RMSE
0	74.35882295
1	70.38471196
2	67.09601846
3	64.01948527
4	60.95623406
5	57.75950104
6	54.7910638
7	52.17306557
8	49.89843662
9	48.0239014
10	46.14660474
11	44.77083623
12	43.23249479
13	41.70155624
14	40.21730536
15	38.93366722
16	37.55871669
17	36.55739101
18	35.71815468
19	34.95814632
20	34.01535764
21	33.11022639
22	32.54166385
23	31.9528738
24	31.42452589
25	30.92786453
26	30.40749605
27	29.95358753
28	29.3544165
29	28.93973158
30	28.51207269
31	28.11506159
32	27.7090241
33	27.24491408
34	26.82836189
35	26.48210129
36	26.12124969
37	25.83754893
38	25.50980475
39	25.23255357
40	24.95642237
41	24.74898552
42	24.47723747
43	24.21587606
44	23.98018577
45	23.7441668
46	23.53631259
47	23.3709212
48	23.16678767
49	23.02516688
50	22.84253339
51	22.70800555
52	22.54968401
53	22.36049802
54	22.21634253
55	22.07636714
56	21.92708866
57	21.81814205
58	21.72241204
59	21.63166209
60	21.54911965
61	21.38460147
62	21.24054396
63	21.1201803
64	20.94768381
65	20.85774038
66	20.75101747
67	20.65643134
68	20.56034904
69	20.48197235
70	20.38156415
71	20.328243
72	20.22786495
73	20.12788471
74	20.02681978
75	19.95626934
76	19.8981076
77	19.81116482
78	19.6996167
79	19.60792429
80	19.53120901
81	19.3894573
82	19.3392684
83	19.31692597
84	19.28199337
85	19.1348847
86	19.07394357
87	19.03422425
88	18.96033174
89	18.91912158
90	18.86825761
91	18.80851601
92	18.75635414
93	18.71622141
94	18.65937788
95	18.51855366
96	18.49113111
97	18.47286099
98	18.42101864
99	18.39543748
100	18.36277453
101	18.29805658
102	18.24324975
103	18.17078079
104	18.13785997
105	18.05882448
106	17.96513296
107	17.80632077
108	17.76118579
109	17.70692157
110	17.65186852
111	17.61686987
112	17.60188301
113	17.53495854
114	17.52105259
115	17.48799378
116	17.43872797
117	17.39016986
118	17.34267141
119	17.30087946
120	17.20473521
121	17.14559608
122	17.12326203
123	17.01354756
124	16.94025458
125	16.91474742
126	16.89672273
127	16.84871471
