2021;;;
CENTRO SUL;1;0;0
EIXO BALTAZAR;1;0;0
LOMBA DO PINHEIRO;2;0;0
NOROESTE;1;0;0
PARTENON;2;1;1
RESTINGA;1;0;0
-;;;
CENTRO SUL;1;1;0
CRUZEIRO;1;1;0
HUMAITA NAVEGANTES;1;0;0
NOROESTE;1;0;0
PARTENON;3;2;2
(Sem Ref.);2;0;0
-;;;
CENTRO;1;1;0
CRUZEIRO;1;1;0
EIXO BALTAZAR;1;0;0
LESTE;3;0;0
LOMBA DO PINHEIRO;1;0;0
NOROESTE;1;0;0
NORTE;1;0;0
(Sem Ref.);1;1;0
-;;;
CENTRO;4;0;0
CENTRO SUL;3;0;0
CRISTAL;1;1;1
CRUZEIRO;2;2;2
EIXO BALTAZAR;1;1;0
HUMAITA NAVEGANTES;15;12;12
LOMBA DO PINHEIRO;1;0;0
NOROESTE;1;1;0
NORTE;1;0;0
PARTENON;26;24;23
(Sem Ref.);2;0;0
-;;;
CENTRO;6;2;0
CENTRO SUL;1;1;0
EIXO BALTAZAR;3;2;0
GLORIA;4;1;1
HUMAITA NAVEGANTES;16;13;13
LOMBA DO PINHEIRO;3;2;0
NORDESTE;1;0;0
NOROESTE;2;1;0
NORTE;5;0;0
PARTENON;9;7;7
(Sem Ref.);7;2;1
-;;;
CENTRO;1;0;0
CENTRO SUL;1;0;0
EIXO BALTAZAR;1;1;1
HUMAITA NAVEGANTES;2;0;0
NORDESTE;2;0;0
(Sem Ref.);5;0;0
SUL;1;0;0
-;;;
CENTRO;1;0;0
CENTRO SUL;1;0;0
GLORIA;2;0;0
HUMAITA NAVEGANTES;2;2;2
NORTE;1;0;0
(Sem Ref.);5;1;0
SUL;1;0;0
-;;;
NOROESTE;1;0;0
(Sem Ref.);1;0;0
-;;;
CENTRO;1;0;0
EXTREMO SUL;2;0;0
NOROESTE;1;0;0
-;;;
CENTRO;2;0;0
EIXO BALTAZAR;1;0;0
EXTREMO SUL;2;0;0
PARTENON;1;0;0
(Sem Ref.);1;0;0
-;;;
CENTRO;2;1;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;1;0;0
LESTE;3;0;0
PARTENON;1;0;0
SUL;1;0;0
-;;;
CENTRO;3;0;0
EIXO BALTAZAR;2;0;0
LESTE;1;0;0
NOROESTE;1;1;0
NORTE;1;0;0
RESTINGA;1;0;0
(Sem Ref.);2;0;0
SUL;1;0;0
