HUMAITA NAVEGANTES;NOROESTE;CENTRO
NOROESTE;HUMAITA NAVEGANTES;NORTE;CENTRO;LESTE;EIXO BALTAZAR
NORTE;NOROESTE;EIXO BALTAZAR
EIXO BALTAZAR;NORTE;NOROESTE;NORDESTE;LESTE
CENTRO;HUMAITA NAVEGANTES;NOROESTE;LESTE;PARTENON;CRUZEIRO;CRISTAL
LESTE;NOROESTE;EIXO BALTAZAR;NORDESTE;CENTRO;PARTENON
NORDESTE;EIXO BALTAZAR;LESTE
PARTENON;CENTRO;LESTE;CRUZEIRO;GLORIA;LOMBA DO PINHEIRO
CRUZEIRO;CENTRO;PARTENON;GLORIA;CRISTAL;CENTRO SUL
CRISTAL;CENTRO;CRUZEIRO;CENTRO SUL;SUL
GLORIA;PARTENON;CRUZEIRO;CENTRO SUL;LOMBA DO PINHEIRO;RESTINGA;SUL
SUL;CRISTAL;CENTRO SUL;EXTREMO SUL;GLORIA;RESTINGA
CENTRO SUL;CRUZEIRO;GLORIA;CRISTAL;SUL
LOMBA DO PINHEIRO;PARTENON;GLORIA;RESTINGA
RESTINGA;GLORIA;SUL;LOMBA DO PINHEIRO;EXTREMO SUL
EXTREMO SUL;SUL;RESTINGA
ILHAS;
