,nome_distrito,ano,mes_inicial,mes,dengue_diagnosis_previsto,precipitacao (mm)-1,temperatura (°C)-1,umidade ar (%)-1,t-1,t-2,t-3,densidade_demografica
56,EXTREMO SUL,2022,1,4,26,184.8,22.67,76.84,14.0,0.0,2.0,300.6
57,GLORIA,2022,1,4,186,184.8,22.67,76.84,56.0,0.0,0.0,2324.68
58,HUMAITA NAVEGANTES,2022,1,4,5,184.8,22.67,76.84,12.0,0.0,2.0,2891.4
59,ILHAS,2022,1,4,2,184.8,22.67,76.84,3.0,0.0,0.0,188.46
60,LESTE,2022,1,4,1244,184.8,22.67,76.84,725.0,17.0,1.0,7417.85
61,LOMBA DO PINHEIRO,2022,1,4,55,184.8,22.67,76.84,17.0,2.0,2.0,1230.31
62,NORDESTE,2022,1,4,74,184.8,22.67,76.84,19.0,2.0,1.0,5491.74
63,NOROESTE,2022,1,4,210,184.8,22.67,76.84,77.0,2.0,0.0,6310.17
64,NORTE,2022,1,4,75,184.8,22.67,76.84,28.0,3.0,1.0,3176.84
65,PARTENON,2022,1,4,376,184.8,22.67,76.84,145.0,8.0,0.0,8162.18
66,RESTINGA,2022,1,4,90,184.8,22.67,76.84,18.0,0.0,0.0,1574.92
67,SUL,2022,1,4,234,184.8,22.67,76.84,85.0,2.0,1.0,2802.29
68,CENTRO,2022,1,5,363,116.2,19.8,79.07,345.0,125.0,5.0,10646.12
69,CENTRO SUL,2022,1,5,155,116.2,19.8,79.07,248.0,164.0,3.0,3847.64
70,CRISTAL,2022,1,5,124,116.2,19.8,79.07,96.0,26.0,0.0,7056.38
71,CRUZEIRO,2022,1,5,81,116.2,19.8,79.07,72.0,32.0,2.0,9590.62
72,EIXO BALTAZAR,2022,1,5,164,116.2,19.8,79.07,145.0,34.0,2.0,8375.15
73,EXTREMO SUL,2022,1,5,56,116.2,19.8,79.07,42.0,14.0,0.0,300.6
74,GLORIA,2022,1,5,201,116.2,19.8,79.07,118.0,56.0,0.0,2324.68
75,HUMAITA NAVEGANTES,2022,1,5,90,116.2,19.8,79.07,63.0,12.0,0.0,2891.4
76,ILHAS,2022,1,5,6,116.2,19.8,79.07,4.0,3.0,0.0,188.46
77,LESTE,2022,1,5,720,116.2,19.8,79.07,1200.0,725.0,17.0,7417.85
78,LOMBA DO PINHEIRO,2022,1,5,99,116.2,19.8,79.07,79.0,17.0,2.0,1230.31
79,NORDESTE,2022,1,5,92,116.2,19.8,79.07,76.0,19.0,2.0,5491.74
80,NOROESTE,2022,1,5,193,116.2,19.8,79.07,201.0,77.0,2.0,6310.17
81,NORTE,2022,1,5,153,116.2,19.8,79.07,130.0,28.0,3.0,3176.84
82,PARTENON,2022,1,5,387,116.2,19.8,79.07,386.0,145.0,8.0,8162.18
83,RESTINGA,2022,1,5,83,116.2,19.8,79.07,56.0,18.0,0.0,1574.92
84,SUL,2022,1,5,169,116.2,19.8,79.07,221.0,85.0,2.0,2802.29
85,CENTRO,2022,1,6,84,153.8,15.64,84.43,161.0,345.0,125.0,10646.12
86,CENTRO SUL,2022,1,6,30,153.8,15.64,84.43,82.0,248.0,164.0,3847.64
87,CRISTAL,2022,1,6,9,153.8,15.64,84.43,46.0,96.0,26.0,7056.38
