2022;;;
CENTRO;3;0;0
CENTRO SUL;1;0;0
CRISTAL;1;0;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;2;0;0
EXTREMO SUL;2;0;0
HUMAITA NAVEGANTES;2;0;0
LESTE;1;0;0
LOMBA DO PINHEIRO;2;1;0
NORDESTE;1;1;1
NORTE;1;0;0
(Sem Ref.);1;0;0
SUL;1;0;0
-;;;
CENTRO;5;3;2
CENTRO SUL;3;2;2
CRUZEIRO;2;0;0
EIXO BALTAZAR;2;1;1
LESTE;17;12;12
LOMBA DO PINHEIRO;2;1;1
NORDESTE;2;0;0
NOROESTE;2;0;0
NORTE;3;1;0
PARTENON;8;6;5
(Sem Ref.);1;1;1
SUL;2;1;1
-;;;
CENTRO;125;66;53
CENTRO SUL;164;119;116
CRISTAL;26;13;10
CRUZEIRO;32;18;18
EIXO BALTAZAR;34;10;9
EXTREMO SUL;14;10;9
GLORIA;56;34;32
HUMAITA NAVEGANTES;12;6;4
ILHAS;3;0;0
LESTE;725;672;661
LOMBA DO PINHEIRO;17;6;6
NORDESTE;19;9;8
NOROESTE;77;53;39
NORTE;28;10;10
PARTENON;145;91;80
RESTINGA;18;10;10
(Sem Ref.);44;22;21
SUL;85;48;44
-;;;
CENTRO;345;195;152
CENTRO SUL;248;140;123
CRISTAL;96;53;46
CRUZEIRO;72;47;44
EIXO BALTAZAR;145;67;65
EXTREMO SUL;42;20;17
GLORIA;118;58;53
HUMAITA NAVEGANTES;63;30;27
ILHAS;4;2;2
LESTE;1200;977;887
LOMBA DO PINHEIRO;79;44;43
Não se aplica;1;0;0
NORDESTE;76;42;39
NOROESTE;201;125;103
NORTE;130;61;57
PARTENON;386;235;207
RESTINGA;56;23;23
(Sem Ref.);86;43;35
SUL;221;99;85
-;;;
CENTRO;161;97;49
CENTRO SUL;82;41;24
CRISTAL;46;39;28
CRUZEIRO;24;16;9
EIXO BALTAZAR;94;55;34
EXTREMO SUL;20;13;10
GLORIA;42;23;17
HUMAITA NAVEGANTES;32;16;13
ILHAS;5;1;0
LESTE;332;295;201
LOMBA DO PINHEIRO;41;23;17
NORDESTE;45;38;30
NOROESTE;75;51;26
NORTE;82;53;38
PARTENON;125;90;50
RESTINGA;16;10;4
(Sem Ref.);50;32;14
SUL;56;34;21
-;;;
CENTRO;28;12;2
CENTRO SUL;26;4;2
CRISTAL;5;3;3
CRUZEIRO;8;4;2
EIXO BALTAZAR;12;6;4
EXTREMO SUL;9;2;1
GLORIA;8;3;2
HUMAITA NAVEGANTES;4;4;2
ILHAS;1;0;0
LESTE;55;46;31
LOMBA DO PINHEIRO;7;1;0
NORDESTE;16;12;12
NOROESTE;22;10;1
NORTE;17;2;1
PARTENON;27;10;7
RESTINGA;8;3;3
(Sem Ref.);12;8;3
SUL;18;4;3
-;;;
CENTRO;12;2;0
CENTRO SUL;9;0;0
CRISTAL;5;1;1
CRUZEIRO;5;2;2
EIXO BALTAZAR;10;1;1
EXTREMO SUL;2;0;0
GLORIA;9;2;2
HUMAITA NAVEGANTES;4;1;1
ILHAS;1;0;0
LESTE;39;26;23
LOMBA DO PINHEIRO;10;0;0
NORDESTE;12;9;9
NOROESTE;11;6;4
NORTE;16;1;1
PARTENON;44;4;4
RESTINGA;4;0;0
(Sem Ref.);6;2;2
SUL;10;3;2
-;;;
CENTRO;6;2;2
CENTRO SUL;6;0;0
CRISTAL;2;0;0
CRUZEIRO;4;1;0
GLORIA;6;0;0
HUMAITA NAVEGANTES;3;0;0
LESTE;9;7;5
LOMBA DO PINHEIRO;2;1;0
NORDESTE;1;1;1
NOROESTE;4;2;0
NORTE;2;0;0
PARTENON;7;1;0
RESTINGA;1;0;0
(Sem Ref.);6;4;1
SUL;6;0;0
-;;;
CENTRO;4;0;0
CENTRO SUL;2;0;0
CRUZEIRO;3;0;0
EXTREMO SUL;1;0;0
GLORIA;4;0;0
HUMAITA NAVEGANTES;1;0;0
ILHAS;1;0;0
LESTE;6;0;0
NOROESTE;1;0;0
NORTE;3;0;0
PARTENON;1;0;0
(Sem Ref.);3;0;0
SUL;4;0;0
-;;;
CENTRO;5;0;0
CENTRO SUL;2;0;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;2;1;1
EXTREMO SUL;2;0;0
GLORIA;1;0;0
LESTE;3;0;0
LOMBA DO PINHEIRO;1;0;0
NOROESTE;3;0;0
NORTE;1;0;0
PARTENON;3;0;0
RESTINGA;2;0;0
(Sem Ref.);4;0;0
SUL;5;0;0
-;;;
CENTRO;4;0;0
CENTRO SUL;6;0;0
CRISTAL;1;0;0
EIXO BALTAZAR;2;0;0
EXTREMO SUL;6;0;0
GLORIA;4;0;0
HUMAITA NAVEGANTES;2;0;0
LESTE;5;0;0
LOMBA DO PINHEIRO;5;0;0
NORDESTE;3;0;0
NOROESTE;3;0;0
NORTE;4;0;0
PARTENON;8;0;0
SUL;4;0;0
-;;;
CENTRO;12;0;0
CENTRO SUL;2;0;0
CRISTAL;2;0;0
CRUZEIRO;2;0;0
EIXO BALTAZAR;3;0;0
EXTREMO SUL;4;0;0
GLORIA;2;0;0
HUMAITA NAVEGANTES;3;0;0
LESTE;6;0;0
LOMBA DO PINHEIRO;1;0;0
NOROESTE;1;1;0
NORTE;5;0;0
PARTENON;3;0;0
RESTINGA;1;0;0
(Sem Ref.);7;1;1
SUL;4;0;0
