2017;;;
CENTRO;22;1;0
CENTRO SUL;10;0;0
CRISTAL;3;0;0
CRUZEIRO;4;0;0
EIXO BALTAZAR;2;0;0
EXTREMO SUL;4;0;0
GLORIA;5;0;0
HUMAITA NAVEGANTES;4;0;0
ILHAS;1;0;0
LESTE;8;0;0
LOMBA DO PINHEIRO;5;0;0
NORDESTE;5;0;0
NOROESTE;19;0;0
NORTE;10;0;0
PARTENON;10;0;0
RESTINGA;2;0;0
(Sem Ref.);11;0;0
SUL;12;0;0
-;;;
CENTRO;17;0;0
CENTRO SUL;4;0;0
CRISTAL;2;1;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;1;0;0
EXTREMO SUL;1;0;0
HUMAITA NAVEGANTES;1;0;0
LESTE;4;0;0
LOMBA DO PINHEIRO;1;0;0
NORDESTE;1;0;0
NOROESTE;7;0;0
NORTE;3;0;0
PARTENON;6;0;0
(Sem Ref.);3;0;0
SUL;6;0;0
-;;;
CENTRO;8;0;0
CENTRO SUL;6;0;0
CRISTAL;3;1;0
EIXO BALTAZAR;2;0;0
EXTREMO SUL;2;0;0
GLORIA;5;0;0
HUMAITA NAVEGANTES;2;0;0
LESTE;3;0;0
LOMBA DO PINHEIRO;5;0;0
NORDESTE;1;0;0
NOROESTE;5;0;0
NORTE;1;0;0
PARTENON;6;0;0
RESTINGA;4;0;0
(Sem Ref.);5;0;0
SUL;4;0;0
-;;;
CENTRO;4;1;0
CENTRO SUL;2;0;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;3;0;0
HUMAITA NAVEGANTES;3;0;0
LESTE;8;1;0
NOROESTE;4;1;0
NORTE;2;0;0
RESTINGA;2;0;0
(Sem Ref.);1;0;0
SUL;5;0;0
-;;;
CENTRO;3;0;0
CRISTAL;2;0;0
EXTREMO SUL;1;0;0
GLORIA;3;0;0
LESTE;3;0;0
LOMBA DO PINHEIRO;2;0;0
NORDESTE;1;0;0
NOROESTE;3;0;0
NORTE;2;0;0
PARTENON;2;0;0
RESTINGA;3;0;0
(Sem Ref.);2;0;0
SUL;3;0;0
-;;;
CENTRO;3;1;0
CENTRO SUL;3;0;0
GLORIA;1;0;0
HUMAITA NAVEGANTES;1;0;0
LESTE;1;0;0
NOROESTE;1;0;0
(Sem Ref.);3;0;0
SUL;1;0;0
-;;;
CENTRO;1;0;0
CENTRO SUL;2;0;0
CRISTAL;1;0;0
EIXO BALTAZAR;1;0;0
EXTREMO SUL;1;0;0
NORDESTE;1;0;0
(Sem Ref.);4;0;0
SUL;1;0;0
-;;;
CENTRO;3;1;0
CRISTAL;1;0;0
CRUZEIRO;1;0;0
EXTREMO SUL;1;0;0
HUMAITA NAVEGANTES;2;0;0
NOROESTE;1;0;0
PARTENON;1;0;0
RESTINGA;1;0;0
(Sem Ref.);7;0;0
-;;;
CENTRO;3;0;0
CENTRO SUL;1;0;0
EIXO BALTAZAR;3;0;0
LESTE;1;0;0
NOROESTE;2;0;0
NORTE;6;0;0
PARTENON;1;0;0
(Sem Ref.);2;0;0
-;;;
CENTRO;6;0;0
EIXO BALTAZAR;1;0;0
EXTREMO SUL;1;0;0
GLORIA;1;0;0
HUMAITA NAVEGANTES;1;0;0
LOMBA DO PINHEIRO;1;0;0
NOROESTE;5;0;0
NORTE;2;0;0
RESTINGA;1;0;0
(Sem Ref.);3;0;0
-;;;
CENTRO;7;0;0
CENTRO SUL;2;0;0
EIXO BALTAZAR;2;0;0
HUMAITA NAVEGANTES;1;0;0
LESTE;5;0;0
LOMBA DO PINHEIRO;2;0;0
NOROESTE;6;0;0
NORTE;1;0;0
PARTENON;2;0;0
SUL;2;0;0
-;;;
CENTRO;7;0;0
CENTRO SUL;3;0;0
EIXO BALTAZAR;4;0;0
LESTE;4;0;0
LOMBA DO PINHEIRO;4;0;0
NORDESTE;1;0;0
NOROESTE;2;0;0
NORTE;2;0;0
PARTENON;2;0;0
RESTINGA;1;0;0
(Sem Ref.);5;0;0
SUL;1;0;0
