2023;;;			
CENTRO;14;2;0
CENTRO SUL;4;0;0
CRISTAL;1;0;0
CRUZEIRO;5;0;0
EIXO BALTAZAR;5;0;0
EXTREMO SUL;3;0;0
GLORIA;4;0;0
HUMAITA NAVEGANTES;3;0;0
LESTE;10;1;0
LOMBA DO PINHEIRO;3;0;0
NORDESTE;3;0;0
NOROESTE;7;0;0
NORTE;3;0;0
PARTENON;8;0;0
RESTINGA;2;0;0
(Sem Ref.);12;1;0
SUL;4;0;0
-;;;		
CENTRO;10;2;0
CENTRO SUL;2;0;0
CRUZEIRO;3;0;0
EIXO BALTAZAR;7;0;0
EXTREMO SUL;1;0;0
GLORIA;1;0;0
HUMAITA NAVEGANTES;6;0;0
ILHAS;1;0;0
LESTE;11;2;1
LOMBA DO PINHEIRO;4;1;1
NORDESTE;4;0;0
NOROESTE;10;6;0
NORTE;8;2;2
PARTENON;16;9;7
RESTINGA;3;0;0
(Sem Ref.);13;3;2
SUL;7;1;1
-;;;		
CENTRO;48;13;9
CENTRO SUL;26;1;1
CRISTAL;11;3;2
CRUZEIRO;16;2;2
EIXO BALTAZAR;24;2;2
EXTREMO SUL;10;2;2
GLORIA;27;6;5
HUMAITA NAVEGANTES;14;3;3
ILHAS;7;4;4
LESTE;48;5;4
LOMBA DO PINHEIRO;32;5;5
NORDESTE;29;6;6
NOROESTE;28;3;3
NORTE;33;2;2
PARTENON;458;347;336
RESTINGA;16;0;0
(Sem Ref.);250;82;78
SUL;15;1;1
-;;;		
CENTRO;110;72;49
CENTRO SUL;69;19;11
CRISTAL;48;16;16
CRUZEIRO;50;10;10
EIXO BALTAZAR;38;7;7
EXTREMO SUL;20;3;3
GLORIA;66;25;24
HUMAITA NAVEGANTES;14;2;2
ILHAS;35;22;21
LESTE;92;22;20
LOMBA DO PINHEIRO;62;15;15
Não se aplica;2;2;1
NORDESTE;32;7;6
NOROESTE;44;15;11
NORTE;60;23;20
PARTENON;1292;852;807
RESTINGA;37;4;4
(Sem Ref.);838;633;616
SUL;36;7;6
-;;;		
CENTRO;136;97;62
CENTRO SUL;50;23;18
CRISTAL;57;45;43
CRUZEIRO;62;50;45
EIXO BALTAZAR;40;20;15
EXTREMO SUL;11;6;5
GLORIA;98;78;73
HUMAITA NAVEGANTES;33;18;14
ILHAS;38;25;23
LESTE;82;46;36
LOMBA DO PINHEIRO;46;30;27
Não se aplica;3;1;1
NORDESTE;39;26;23
NOROESTE;61;43;31
NORTE;64;40;36
PARTENON;1200;1066;1004
RESTINGA;50;36;30
(Sem Ref.);363;248;232
SUL;30;10;6
-;;;		
CENTRO;59;41;31
CENTRO SUL;20;11;10
CRISTAL;14;12;12
CRUZEIRO;25;24;23
EIXO BALTAZAR;16;8;5
EXTREMO SUL;3;1;1
GLORIA;32;28;28
HUMAITA NAVEGANTES;8;3;2
ILHAS;7;6;6
LESTE;22;13;13
LOMBA DO PINHEIRO;18;15;15
NORDESTE;10;4;4
NOROESTE;16;10;6
NORTE;22;15;13
PARTENON;291;275;272
RESTINGA;21;16;15
(Sem Ref.);86;50;45
SUL;14;8;5
-;;;		
CENTRO;10;6;1
CENTRO SUL;5;2;2
CRISTAL;4;3;3
CRUZEIRO;9;9;9
EIXO BALTAZAR;5;3;3
EXTREMO SUL;1;0;0
GLORIA;8;8;8
HUMAITA NAVEGANTES;6;2;2
ILHAS;1;1;0
LESTE;9;3;2
LOMBA DO PINHEIRO;4;3;3
NORDESTE;3;1;1
NOROESTE;5;2;2
NORTE;11;4;4
PARTENON;91;79;73
RESTINGA;9;7;7
(Sem Ref.);37;14;13
SUL;7;5;3
-;;;		
CENTRO;14;4;3
CENTRO SUL;11;3;2
CRISTAL;4;1;0
CRUZEIRO;7;3;3
EIXO BALTAZAR;4;1;0
EXTREMO SUL;2;0;0
GLORIA;7;4;3
HUMAITA NAVEGANTES;2;1;0
LESTE;7;1;1
LOMBA DO PINHEIRO;4;0;0
Não se aplica;1;0;0
NORDESTE;5;1;1
NOROESTE;6;1;0
NORTE;17;3;1
PARTENON;40;12;9
RESTINGA;6;1;1
(Sem Ref.);20;2;1
SUL;6;1;0
-;;;		
CENTRO;2;0;0
CENTRO SUL;2;0;0
CRUZEIRO;4;1;0
