2019;;;
CENTRO;1;0;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;2;0;0
HUMAITA NAVEGANTES;1;0;0
ILHAS;1;1;0
NOROESTE;4;2;0
NORTE;1;0;0
PARTENON;2;0;0
RESTINGA;1;0;0
-;;;
CENTRO;5;1;0
CENTRO SUL;2;0;0
HUMAITA NAVEGANTES;1;0;0
LESTE;2;0;0
NORDESTE;1;0;0
NOROESTE;3;1;0
NORTE;3;1;1
PARTENON;2;0;0
RESTINGA;1;0;0
(Sem Ref.);2;0;0
SUL;2;0;0
-;;;
CENTRO;6;0;0
EIXO BALTAZAR;3;0;0
EXTREMO SUL;1;0;0
HUMAITA NAVEGANTES;1;0;0
LESTE;2;1;0
LOMBA DO PINHEIRO;2;0;0
NORDESTE;2;0;0
NOROESTE;2;0;0
NORTE;57;39;38
PARTENON;9;0;0
(Sem Ref.);6;2;1
SUL;1;1;0
-;;;
CENTRO;14;3;1
CENTRO SUL;3;1;1
CRUZEIRO;1;0;0
EIXO BALTAZAR;18;1;1
EXTREMO SUL;2;0;0
GLORIA;5;0;0
HUMAITA NAVEGANTES;6;1;1
LESTE;10;0;0
LOMBA DO PINHEIRO;7;0;0
NORDESTE;5;0;0
NOROESTE;33;19;19
NORTE;186;106;106
PARTENON;5;1;0
RESTINGA;2;0;0
(Sem Ref.);8;5;5
SUL;4;0;0
-;;;
CENTRO;18;2;2
CENTRO SUL;12;1;0
CRISTAL;1;0;0
CRUZEIRO;4;1;0
EIXO BALTAZAR;36;6;5
GLORIA;5;0;0
HUMAITA NAVEGANTES;3;0;0
LESTE;18;6;5
LOMBA DO PINHEIRO;8;1;1
NORDESTE;12;4;3
NOROESTE;30;14;14
NORTE;269;149;149
PARTENON;15;1;1
(Sem Ref.);9;5;5
SUL;8;2;1
-;;;
CENTRO;18;1;0
CENTRO SUL;5;3;1
EIXO BALTAZAR;16;2;2
EXTREMO SUL;2;0;0
GLORIA;1;0;0
HUMAITA NAVEGANTES;4;0;0
LESTE;37;29;29
LOMBA DO PINHEIRO;1;1;1
NORDESTE;6;2;2
NOROESTE;18;2;1
NORTE;82;30;30
PARTENON;9;2;2
RESTINGA;2;1;0
(Sem Ref.);10;0;0
SUL;5;0;0
-;;;
CENTRO;4;0;0
CENTRO SUL;1;0;0
CRISTAL;1;0;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;3;0;0
EXTREMO SUL;1;1;1
GLORIA;3;0;0
LESTE;12;6;6
LOMBA DO PINHEIRO;1;0;0
NORDESTE;3;0;0
NOROESTE;5;1;0
NORTE;19;3;3
PARTENON;4;0;0
(Sem Ref.);2;1;0
SUL;1;0;0
-;;;
CENTRO;3;0;0
CENTRO SUL;3;0;0
CRUZEIRO;1;0;0
EIXO BALTAZAR;1;0;0
LESTE;4;0;0
NORDESTE;2;0;0
NOROESTE;4;0;0
NORTE;6;0;0
PARTENON;4;0;0
(Sem Ref.);5;0;0
-;;;
CENTRO;4;1;1
CENTRO SUL;1;0;0
EIXO BALTAZAR;2;0;0
GLORIA;1;0;0
ILHAS;1;0;0
LESTE;3;0;0
NORDESTE;1;0;0
NOROESTE;1;0;0
NORTE;2;0;0
PARTENON;1;0;0
SUL;2;0;0
-;;;
CENTRO;3;0;0
CENTRO SUL;1;0;0
CRISTAL;2;0;0
EIXO BALTAZAR;1;0;0
GLORIA;1;0;0
HUMAITA NAVEGANTES;1;0;0
LESTE;1;0;0
NOROESTE;2;0;0
NORTE;4;0;0
(Sem Ref.);1;0;0
SUL;1;0;0
-;;;
CENTRO;4;0;0
CENTRO SUL;1;0;0
CRISTAL;1;0;0
CRUZEIRO;1;0;0
EXTREMO SUL;1;0;0
LESTE;1;0;0
LOMBA DO PINHEIRO;1;0;0
NOROESTE;3;0;0
NORTE;7;0;0
(Sem Ref.);2;0;0
SUL;4;0;0
-;;;
CENTRO;6;2;1
CRUZEIRO;3;0;0
GLORIA;1;0;0
LESTE;5;0;0
NORDESTE;2;0;0
NOROESTE;3;0;0
NORTE;3;0;0
PARTENON;3;1;0
RESTINGA;1;0;0
(Sem Ref.);1;0;0
SUL;1;0;0
