RESTINGA, 59786
EXTREMO SUL, 33798
SUL, 84056
CENTRO SUL, 107625
GLORIA, 57436
CRUZEIRO, 61450
CRISTAL, 30282
PARTENON, 113307
LOMBA DO PINHEIRO, 58182
LESTE, 111569
NORDESTE, 39393
NORTE, 98571
EIXO BALTAZAR, 91968
NOROESTE, 129800
HUMAITA NAVEGANTES, 46282
ILHAS, 8420
CENTRO, 277426
