,precipitacao (mm)-1,temperatura (°C)-1,umidade ar (%)-1,t-1,t-2,t-3,densidade_demografica
92,21.0,26.0,68.0,3.0,4.0,21.0,82.71787806717326
93,23.0,95.0,65.0,0.0,3.0,4.0,82.71787806717326
94,25.0,60.0,64.0,1.0,0.0,3.0,82.71787806717326
95,24.0,94.0,73.0,0.0,1.0,0.0,82.71787806717326
96,25.0,242.0,70.0,12.0,11.0,1.0,146.60916263533747
97,26.0,216.0,72.0,10.0,12.0,11.0,146.60916263533747
98,28.0,26.0,61.0,47.0,10.0,12.0,146.60916263533747
99,26.0,161.0,69.0,66.0,47.0,10.0,146.60916263533747
100,25.0,24.0,74.0,114.0,66.0,47.0,146.60916263533747
101,23.0,1.0,74.0,95.0,114.0,66.0,146.60916263533747
102,25.0,1.0,74.0,40.0,95.0,114.0,146.60916263533747
103,22.0,0.0,73.0,21.0,40.0,95.0,146.60916263533747
104,21.0,26.0,68.0,8.0,21.0,40.0,146.60916263533747
105,23.0,95.0,65.0,5.0,8.0,21.0,146.60916263533747
106,25.0,60.0,64.0,1.0,5.0,8.0,146.60916263533747
107,24.0,94.0,73.0,2.0,1.0,5.0,146.60916263533747
108,25.0,242.0,70.0,3.0,3.0,2.0,146.03530515504642
109,26.0,216.0,72.0,194.0,3.0,3.0,146.03530515504642
110,28.0,26.0,61.0,432.0,194.0,3.0,146.03530515504642
111,26.0,161.0,69.0,421.0,432.0,194.0,146.03530515504642
112,25.0,24.0,74.0,268.0,421.0,432.0,146.03530515504642
113,23.0,1.0,74.0,128.0,268.0,421.0,146.03530515504642
114,25.0,1.0,74.0,44.0,128.0,268.0,146.03530515504642
115,22.0,0.0,73.0,13.0,44.0,128.0,146.03530515504642
116,21.0,26.0,68.0,8.0,13.0,44.0,146.03530515504642
117,23.0,95.0,65.0,7.0,8.0,13.0,146.03530515504642
118,25.0,60.0,64.0,2.0,7.0,8.0,146.03530515504642
119,24.0,94.0,73.0,2.0,2.0,7.0,146.03530515504642
120,25.0,242.0,70.0,14.0,8.0,10.0,86.33752329863162
121,26.0,216.0,72.0,52.0,14.0,8.0,86.33752329863162
122,28.0,26.0,61.0,90.0,52.0,14.0,86.33752329863162
123,26.0,161.0,69.0,167.0,90.0,52.0,86.33752329863162
124,25.0,24.0,74.0,322.0,167.0,90.0,86.33752329863162
125,23.0,1.0,74.0,346.0,322.0,167.0,86.33752329863162
126,25.0,1.0,74.0,166.0,346.0,322.0,86.33752329863162
127,22.0,0.0,73.0,83.0,166.0,346.0,86.33752329863162
128,21.0,26.0,68.0,36.0,83.0,166.0,86.33752329863162
129,23.0,95.0,65.0,24.0,36.0,83.0,86.33752329863162
130,25.0,60.0,64.0,15.0,24.0,36.0,86.33752329863162
131,24.0,94.0,73.0,11.0,15.0,24.0,86.33752329863162
132,25.0,242.0,70.0,75.0,43.0,4.0,170.6613196297768
133,26.0,216.0,72.0,44.0,75.0,43.0,170.6613196297768
134,28.0,26.0,61.0,36.0,44.0,75.0,170.6613196297768
135,26.0,161.0,69.0,143.0,36.0,44.0,170.6613196297768
136,25.0,24.0,74.0,222.0,143.0,36.0,170.6613196297768
137,23.0,1.0,74.0,261.0,222.0,143.0,170.6613196297768
138,25.0,1.0,74.0,107.0,261.0,222.0,170.6613196297768
139,22.0,0.0,73.0,18.0,107.0,261.0,170.6613196297768
140,21.0,26.0,68.0,5.0,18.0,107.0,170.6613196297768
141,23.0,95.0,65.0,10.0,5.0,18.0,170.6613196297768
142,25.0,60.0,64.0,2.0,10.0,5.0,170.6613196297768
143,24.0,94.0,73.0,7.0,2.0,10.0,170.6613196297768
144,25.0,242.0,70.0,12.0,6.0,5.0,191.32177139809792
145,26.0,216.0,72.0,10.0,12.0,6.0,191.32177139809792
146,28.0,26.0,61.0,57.0,10.0,12.0,191.32177139809792
147,26.0,161.0,69.0,88.0,57.0,10.0,191.32177139809792
148,25.0,24.0,74.0,184.0,88.0,57.0,191.32177139809792
149,23.0,1.0,74.0,231.0,184.0,88.0,191.32177139809792
150,25.0,1.0,74.0,124.0,231.0,184.0,191.32177139809792
151,22.0,0.0,73.0,22.0,124.0,231.0,191.32177139809792
152,21.0,26.0,68.0,16.0,22.0,124.0,191.32177139809792
153,23.0,95.0,65.0,7.0,16.0,22.0,191.32177139809792
154,25.0,60.0,64.0,5.0,7.0,16.0,191.32177139809792
155,24.0,94.0,73.0,4.0,5.0,7.0,191.32177139809792
156,25.0,242.0,70.0,6.0,7.0,9.0,2.256853914829738
157,26.0,216.0,72.0,4.0,6.0,7.0,2.256853914829738
158,28.0,26.0,61.0,6.0,4.0,6.0,2.256853914829738
159,26.0,161.0,69.0,5.0,6.0,4.0,2.256853914829738
160,25.0,24.0,74.0,17.0,5.0,6.0,2.256853914829738
161,23.0,1.0,74.0,6.0,17.0,5.0,2.256853914829738
162,25.0,1.0,74.0,2.0,6.0,17.0,2.256853914829738
163,22.0,0.0,73.0,0.0,2.0,6.0,2.256853914829738
164,21.0,26.0,68.0,0.0,0.0,2.0,2.256853914829738
165,23.0,95.0,65.0,0.0,0.0,0.0,2.256853914829738
166,25.0,60.0,64.0,0.0,0.0,0.0,2.256853914829738
167,24.0,94.0,73.0,0.0,0.0,0.0,2.256853914829738
168,25.0,242.0,70.0,74.0,35.0,11.0,104.70634840020313
169,26.0,216.0,72.0,10.0,74.0,35.0,104.70634840020313
170,28.0,26.0,61.0,41.0,10.0,74.0,104.70634840020313
171,26.0,161.0,69.0,134.0,41.0,10.0,104.70634840020313
172,25.0,24.0,74.0,130.0,134.0,41.0,104.70634840020313
173,23.0,1.0,74.0,97.0,130.0,134.0,104.70634840020313
174,25.0,1.0,74.0,32.0,97.0,130.0,104.70634840020313
175,22.0,0.0,73.0,10.0,32.0,97.0,104.70634840020313
176,21.0,26.0,68.0,8.0,10.0,32.0,104.70634840020313
177,23.0,95.0,65.0,5.0,8.0,10.0,104.70634840020313
178,25.0,60.0,64.0,2.0,5.0,8.0,104.70634840020313
179,24.0,94.0,73.0,2.0,2.0,5.0,104.70634840020313
180,25.0,242.0,70.0,90.0,33.0,56.0,31.91107577090739
181,26.0,216.0,72.0,204.0,90.0,33.0,31.91107577090739
182,28.0,26.0,61.0,658.0,204.0,90.0,31.91107577090739
183,26.0,161.0,69.0,1815.0,658.0,204.0,31.91107577090739
184,25.0,24.0,74.0,2431.0,1815.0,658.0,31.91107577090739
185,23.0,1.0,74.0,1633.0,2431.0,1815.0,31.91107577090739
186,25.0,1.0,74.0,514.0,1633.0,2431.0,31.91107577090739
187,22.0,0.0,73.0,70.0,514.0,1633.0,31.91107577090739
188,21.0,26.0,68.0,30.0,70.0,514.0,31.91107577090739
189,23.0,95.0,65.0,10.0,30.0,70.0,31.91107577090739
190,25.0,60.0,64.0,19.0,10.0,30.0,31.91107577090739
191,24.0,94.0,73.0,12.0,19.0,10.0,31.91107577090739
192,25.0,242.0,70.0,6.0,2.0,1.0,4.25998524121391
193,26.0,216.0,72.0,0.0,6.0,2.0,4.25998524121391
194,28.0,26.0,61.0,3.0,0.0,6.0,4.25998524121391
195,26.0,161.0,69.0,8.0,3.0,0.0,4.25998524121391
196,25.0,24.0,74.0,6.0,8.0,3.0,4.25998524121391
197,23.0,1.0,74.0,4.0,6.0,8.0,4.25998524121391
198,25.0,1.0,74.0,2.0,4.0,6.0,4.25998524121391
199,22.0,0.0,73.0,1.0,2.0,4.0,4.25998524121391
200,21.0,26.0,68.0,0.0,1.0,2.0,4.25998524121391
201,23.0,95.0,65.0,0.0,0.0,1.0,4.25998524121391
202,25.0,60.0,64.0,0.0,0.0,0.0,4.25998524121391
203,24.0,94.0,73.0,0.0,0.0,0.0,4.25998524121391
204,25.0,242.0,70.0,6.0,5.0,2.0,123.18717858400844
205,26.0,216.0,72.0,33.0,6.0,5.0,123.18717858400844
206,28.0,26.0,61.0,71.0,33.0,6.0,123.18717858400844
207,26.0,161.0,69.0,208.0,71.0,33.0,123.18717858400844
208,25.0,24.0,74.0,237.0,208.0,71.0,123.18717858400844
209,23.0,1.0,74.0,174.0,237.0,208.0,123.18717858400844
210,25.0,1.0,74.0,59.0,174.0,237.0,123.18717858400844
211,22.0,0.0,73.0,24.0,59.0,174.0,123.18717858400844
212,21.0,26.0,68.0,9.0,24.0,59.0,123.18717858400844
213,23.0,95.0,65.0,5.0,9.0,24.0,123.18717858400844
214,25.0,60.0,64.0,6.0,5.0,9.0,123.18717858400844
215,24.0,94.0,73.0,3.0,6.0,5.0,123.18717858400844
216,25.0,242.0,70.0,3.0,0.0,2.0,358.5588105726872
217,26.0,216.0,72.0,10.0,3.0,0.0,358.5588105726872
218,28.0,26.0,61.0,20.0,10.0,3.0,358.5588105726872
219,26.0,161.0,69.0,24.0,20.0,10.0,358.5588105726872
220,25.0,24.0,74.0,28.0,24.0,20.0,358.5588105726872
221,23.0,1.0,74.0,47.0,28.0,24.0,358.5588105726872
222,25.0,1.0,74.0,10.0,47.0,28.0,358.5588105726872
223,22.0,0.0,73.0,13.0,10.0,47.0,358.5588105726872
224,21.0,26.0,68.0,9.0,13.0,10.0,358.5588105726872
225,23.0,95.0,65.0,0.0,9.0,13.0,358.5588105726872
226,25.0,60.0,64.0,2.0,0.0,9.0,358.5588105726872
227,24.0,94.0,73.0,0.0,2.0,0.0,358.5588105726872
228,25.0,242.0,70.0,10.0,3.0,3.0,236.22502316960143
229,26.0,216.0,72.0,6.0,10.0,3.0,236.22502316960143
230,28.0,26.0,61.0,22.0,6.0,10.0,236.22502316960143
231,26.0,161.0,69.0,23.0,22.0,6.0,236.22502316960143
232,25.0,24.0,74.0,40.0,23.0,22.0,236.22502316960143
233,23.0,1.0,74.0,63.0,40.0,23.0,236.22502316960143
234,25.0,1.0,74.0,30.0,63.0,40.0,236.22502316960143
235,22.0,0.0,73.0,12.0,30.0,63.0,236.22502316960143
236,21.0,26.0,68.0,7.0,12.0,30.0,236.22502316960143
237,23.0,95.0,65.0,2.0,7.0,12.0,236.22502316960143
238,25.0,60.0,64.0,2.0,2.0,7.0,236.22502316960143
239,24.0,94.0,73.0,3.0,2.0,2.0,236.22502316960143
240,25.0,242.0,70.0,7.0,2.0,2.0,85.14689984928017
241,26.0,216.0,72.0,19.0,7.0,2.0,85.14689984928017
242,28.0,26.0,61.0,66.0,19.0,7.0,85.14689984928017
243,26.0,161.0,69.0,173.0,66.0,19.0,85.14689984928017
244,25.0,24.0,74.0,152.0,173.0,66.0,85.14689984928017
245,23.0,1.0,74.0,90.0,152.0,173.0,85.14689984928017
246,25.0,1.0,74.0,24.0,90.0,152.0,85.14689984928017
247,22.0,0.0,73.0,15.0,24.0,90.0,85.14689984928017
248,21.0,26.0,68.0,1.0,15.0,24.0,85.14689984928017
249,23.0,95.0,65.0,0.0,1.0,15.0,85.14689984928017
250,25.0,60.0,64.0,4.0,0.0,1.0,85.14689984928017
251,24.0,94.0,73.0,2.0,4.0,0.0,85.14689984928017
252,25.0,242.0,70.0,1.0,1.0,0.0,59.34313830356188
253,26.0,216.0,72.0,2.0,1.0,1.0,59.34313830356188
254,28.0,26.0,61.0,6.0,2.0,1.0,59.34313830356188
255,26.0,161.0,69.0,12.0,6.0,2.0,59.34313830356188
256,25.0,24.0,74.0,33.0,12.0,6.0,59.34313830356188
257,23.0,1.0,74.0,25.0,33.0,12.0,59.34313830356188
258,25.0,1.0,74.0,6.0,25.0,33.0,59.34313830356188
259,22.0,0.0,73.0,4.0,6.0,25.0,59.34313830356188
260,21.0,26.0,68.0,1.0,4.0,6.0,59.34313830356188
261,23.0,95.0,65.0,1.0,1.0,4.0,59.34313830356188
262,25.0,60.0,64.0,0.0,1.0,1.0,59.34313830356188
263,24.0,94.0,73.0,0.0,0.0,1.0,59.34313830356188
264,25.0,242.0,70.0,21.0,20.0,13.0,291.14473684210526
265,26.0,216.0,72.0,44.0,21.0,20.0,291.14473684210526
266,28.0,26.0,61.0,22.0,44.0,21.0,291.14473684210526
267,26.0,161.0,69.0,73.0,22.0,44.0,291.14473684210526
268,25.0,24.0,74.0,101.0,73.0,22.0,291.14473684210526
269,23.0,1.0,74.0,121.0,101.0,73.0,291.14473684210526
270,25.0,1.0,74.0,59.0,121.0,101.0,291.14473684210526
271,22.0,0.0,73.0,2.0,59.0,121.0,291.14473684210526
272,21.0,26.0,68.0,3.0,2.0,59.0,291.14473684210526
273,23.0,95.0,65.0,4.0,3.0,2.0,291.14473684210526
274,25.0,60.0,64.0,0.0,4.0,3.0,291.14473684210526
275,24.0,94.0,73.0,1.0,0.0,4.0,291.14473684210526
276,25.0,242.0,70.0,2.0,0.0,1.0,131.00853901273882
277,26.0,216.0,72.0,51.0,2.0,0.0,131.00853901273882
278,28.0,26.0,61.0,134.0,51.0,2.0,131.00853901273882
279,26.0,161.0,69.0,213.0,134.0,51.0,131.00853901273882
280,25.0,24.0,74.0,275.0,213.0,134.0,131.00853901273882
281,23.0,1.0,74.0,189.0,275.0,213.0,131.00853901273882
282,25.0,1.0,74.0,78.0,189.0,275.0,131.00853901273882
283,22.0,0.0,73.0,24.0,78.0,189.0,131.00853901273882
284,21.0,26.0,68.0,12.0,24.0,78.0,131.00853901273882
285,23.0,95.0,65.0,2.0,12.0,24.0,131.00853901273882
286,25.0,60.0,64.0,6.0,2.0,12.0,131.00853901273882
287,24.0,94.0,73.0,6.0,6.0,2.0,131.00853901273882
288,25.0,242.0,70.0,6.0,3.0,2.0,131.27979744372206
289,26.0,216.0,72.0,79.0,6.0,3.0,131.27979744372206
290,28.0,26.0,61.0,198.0,79.0,6.0,131.27979744372206
291,26.0,161.0,69.0,287.0,198.0,79.0,131.27979744372206
292,25.0,24.0,74.0,171.0,287.0,198.0,131.27979744372206
293,23.0,1.0,74.0,196.0,171.0,287.0,131.27979744372206
294,25.0,1.0,74.0,81.0,196.0,171.0,131.27979744372206
295,22.0,0.0,73.0,37.0,81.0,196.0,131.27979744372206
296,21.0,26.0,68.0,14.0,37.0,81.0,131.27979744372206
297,23.0,95.0,65.0,9.0,14.0,37.0,131.27979744372206
298,25.0,60.0,64.0,2.0,9.0,14.0,131.27979744372206
299,24.0,94.0,73.0,5.0,2.0,9.0,131.27979744372206
300,25.0,242.0,70.0,97.0,73.0,62.0,237.02301665034284
301,26.0,216.0,72.0,20.0,97.0,73.0,237.02301665034284
302,28.0,26.0,61.0,37.0,20.0,97.0,237.02301665034284
303,26.0,161.0,69.0,21.0,37.0,20.0,237.02301665034284
304,25.0,24.0,74.0,83.0,21.0,37.0,237.02301665034284
305,23.0,1.0,74.0,135.0,83.0,21.0,237.02301665034284
306,25.0,1.0,74.0,22.0,135.0,83.0,237.02301665034284
307,22.0,0.0,73.0,36.0,22.0,135.0,237.02301665034284
308,21.0,26.0,68.0,3.0,36.0,22.0,237.02301665034284
309,23.0,95.0,65.0,2.0,3.0,36.0,237.02301665034284
310,25.0,60.0,64.0,1.0,2.0,3.0,237.02301665034284
311,24.0,94.0,73.0,0.0,1.0,2.0,237.02301665034284
312,25.0,242.0,70.0,1.0,2.0,0.0,81.63215686274509
313,26.0,216.0,72.0,0.0,1.0,2.0,81.63215686274509
314,28.0,26.0,61.0,3.0,0.0,1.0,81.63215686274509
315,26.0,161.0,69.0,3.0,3.0,0.0,81.63215686274509
316,25.0,24.0,74.0,14.0,3.0,3.0,81.63215686274509
317,23.0,1.0,74.0,10.0,14.0,3.0,81.63215686274509
318,25.0,1.0,74.0,6.0,10.0,14.0,81.63215686274509
319,22.0,0.0,73.0,2.0,6.0,10.0,81.63215686274509
320,21.0,26.0,68.0,2.0,2.0,6.0,81.63215686274509
321,23.0,95.0,65.0,1.0,2.0,2.0,81.63215686274509
322,25.0,60.0,64.0,0.0,1.0,2.0,81.63215686274509
323,24.0,94.0,73.0,0.0,0.0,1.0,81.63215686274509
324,25.0,242.0,70.0,12.0,1.0,1.0,69.40771047747594
325,26.0,216.0,72.0,36.0,12.0,1.0,69.40771047747594
326,28.0,26.0,61.0,45.0,36.0,12.0,69.40771047747594
327,26.0,161.0,69.0,261.0,45.0,36.0,69.40771047747594
328,25.0,24.0,74.0,308.0,261.0,45.0,69.40771047747594
329,23.0,1.0,74.0,210.0,308.0,261.0,69.40771047747594
330,25.0,1.0,74.0,30.0,210.0,308.0,69.40771047747594
331,22.0,0.0,73.0,7.0,30.0,210.0,69.40771047747594
332,21.0,26.0,68.0,3.0,7.0,30.0,69.40771047747594
333,23.0,95.0,65.0,3.0,3.0,7.0,69.40771047747594
334,25.0,60.0,64.0,0.0,3.0,3.0,69.40771047747594
335,24.0,94.0,73.0,3.0,0.0,3.0,69.40771047747594
336,25.0,242.0,70.0,11.0,13.0,1.0,159.07334141503196
337,26.0,216.0,72.0,34.0,11.0,13.0,159.07334141503196
338,28.0,26.0,61.0,77.0,34.0,11.0,159.07334141503196
339,26.0,161.0,69.0,161.0,77.0,34.0,159.07334141503196
340,25.0,24.0,74.0,160.0,161.0,77.0,159.07334141503196
341,23.0,1.0,74.0,173.0,160.0,161.0,159.07334141503196
342,25.0,1.0,74.0,69.0,173.0,160.0,159.07334141503196
343,22.0,0.0,73.0,12.0,69.0,173.0,159.07334141503196
344,21.0,26.0,68.0,7.0,12.0,69.0,159.07334141503196
345,23.0,95.0,65.0,2.0,7.0,12.0,159.07334141503196
346,25.0,60.0,64.0,2.0,2.0,7.0,159.07334141503196
347,24.0,94.0,73.0,1.0,2.0,2.0,159.07334141503196
348,25.0,242.0,70.0,8.0,9.0,5.0,94.79229548448916
349,26.0,216.0,72.0,28.0,8.0,9.0,94.79229548448916
350,28.0,26.0,61.0,49.0,28.0,8.0,94.79229548448916
351,26.0,161.0,69.0,100.0,49.0,28.0,94.79229548448916
352,25.0,24.0,74.0,170.0,100.0,49.0,94.79229548448916
353,23.0,1.0,74.0,166.0,170.0,100.0,94.79229548448916
354,25.0,1.0,74.0,79.0,166.0,170.0,94.79229548448916
355,22.0,0.0,73.0,9.0,79.0,166.0,94.79229548448916
356,21.0,26.0,68.0,3.0,9.0,79.0,94.79229548448916
357,23.0,95.0,65.0,1.0,3.0,9.0,94.79229548448916
358,25.0,60.0,64.0,0.0,1.0,3.0,94.79229548448916
359,24.0,94.0,73.0,2.0,0.0,1.0,94.79229548448916
360,25.0,242.0,70.0,3.0,6.0,2.0,109.96009438545352
361,26.0,216.0,72.0,19.0,3.0,6.0,109.96009438545352
362,28.0,26.0,61.0,27.0,19.0,3.0,109.96009438545352
363,26.0,161.0,69.0,63.0,27.0,19.0,109.96009438545352
364,25.0,24.0,74.0,220.0,63.0,27.0,109.96009438545352
365,23.0,1.0,74.0,196.0,220.0,63.0,109.96009438545352
366,25.0,1.0,74.0,81.0,196.0,220.0,109.96009438545352
367,22.0,0.0,73.0,17.0,81.0,196.0,109.96009438545352
368,21.0,26.0,68.0,7.0,17.0,81.0,109.96009438545352
369,23.0,95.0,65.0,6.0,7.0,17.0,109.96009438545352
370,25.0,60.0,64.0,4.0,6.0,7.0,109.96009438545352
371,24.0,94.0,73.0,1.0,4.0,6.0,109.96009438545352
372,25.0,242.0,70.0,51.0,31.0,16.0,23.71431957763172
373,26.0,216.0,72.0,25.0,51.0,31.0,23.71431957763172
374,28.0,26.0,61.0,38.0,25.0,51.0,23.71431957763172
375,26.0,161.0,69.0,56.0,38.0,25.0,23.71431957763172
376,25.0,24.0,74.0,100.0,56.0,38.0,23.71431957763172
377,23.0,1.0,74.0,65.0,100.0,56.0,23.71431957763172
378,25.0,1.0,74.0,19.0,65.0,100.0,23.71431957763172
379,22.0,0.0,73.0,4.0,19.0,65.0,23.71431957763172
380,21.0,26.0,68.0,6.0,4.0,19.0,23.71431957763172
381,23.0,95.0,65.0,2.0,6.0,4.0,23.71431957763172
382,25.0,60.0,64.0,0.0,2.0,6.0,23.71431957763172
383,24.0,94.0,73.0,2.0,0.0,2.0,23.71431957763172
384,25.0,242.0,70.0,8.0,9.0,6.0,143.81959249127442
385,26.0,216.0,72.0,10.0,8.0,9.0,143.81959249127442
386,28.0,26.0,61.0,14.0,10.0,8.0,143.81959249127442
387,26.0,161.0,69.0,74.0,14.0,10.0,143.81959249127442
388,25.0,24.0,74.0,139.0,74.0,14.0,143.81959249127442
389,23.0,1.0,74.0,71.0,139.0,74.0,143.81959249127442
390,25.0,1.0,74.0,22.0,71.0,139.0,143.81959249127442
391,22.0,0.0,73.0,0.0,22.0,71.0,143.81959249127442
392,21.0,26.0,68.0,5.0,0.0,22.0,143.81959249127442
393,23.0,95.0,65.0,2.0,5.0,0.0,143.81959249127442
394,25.0,60.0,64.0,1.0,2.0,5.0,143.81959249127442
395,24.0,94.0,73.0,0.0,1.0,2.0,143.81959249127442
396,25.0,242.0,70.0,14.0,7.0,2.0,87.59981646195116
397,26.0,216.0,72.0,4.0,14.0,7.0,87.59981646195116
398,28.0,26.0,61.0,9.0,4.0,14.0,87.59981646195116
399,26.0,161.0,69.0,16.0,9.0,4.0,87.59981646195116
400,25.0,24.0,74.0,25.0,16.0,9.0,87.59981646195116
401,23.0,1.0,74.0,15.0,25.0,16.0,87.59981646195116
402,25.0,1.0,74.0,5.0,15.0,25.0,87.59981646195116
403,22.0,0.0,73.0,0.0,5.0,15.0,87.59981646195116
404,21.0,26.0,68.0,1.0,0.0,5.0,87.59981646195116
405,23.0,95.0,65.0,0.0,1.0,0.0,87.59981646195116
406,25.0,60.0,64.0,0.0,0.0,1.0,87.59981646195116
