,precipitacao (mm)-1,temperatura (°C)-1,umidade ar (%)-1,t-1,t-2,t-3,densidade_demografica
5689,27.0,49.0,74.0,0.0,1.0,0.0,50.09394387891199
5690,25.0,23.0,73.0,5.0,0.0,1.0,50.09394387891199
5691,25.0,74.0,77.0,6.0,5.0,0.0,50.09394387891199
5692,24.0,123.0,81.0,7.0,6.0,5.0,50.09394387891199
5693,23.0,71.0,76.0,13.0,7.0,6.0,50.09394387891199
5694,23.0,64.0,76.0,4.0,13.0,7.0,50.09394387891199
5695,21.0,50.0,77.0,1.0,4.0,13.0,50.09394387891199
5696,21.0,54.0,73.0,12.0,1.0,4.0,50.09394387891199
5697,22.0,28.0,76.0,2.0,12.0,1.0,50.09394387891199
5698,22.0,30.0,76.0,3.0,2.0,12.0,50.09394387891199
5699,23.0,53.0,79.0,1.0,3.0,2.0,50.09394387891199
5700,25.0,143.0,82.0,0.0,0.0,0.0,17.41272385414419
5701,27.0,49.0,74.0,0.0,0.0,0.0,17.41272385414419
5702,25.0,23.0,73.0,0.0,0.0,0.0,17.41272385414419
5703,25.0,74.0,77.0,1.0,0.0,0.0,17.41272385414419
5704,24.0,123.0,81.0,0.0,1.0,0.0,17.41272385414419
5705,23.0,71.0,76.0,0.0,0.0,1.0,17.41272385414419
5706,23.0,64.0,76.0,0.0,0.0,0.0,17.41272385414419
5707,21.0,50.0,77.0,0.0,0.0,0.0,17.41272385414419
5708,21.0,54.0,73.0,0.0,0.0,0.0,17.41272385414419
5709,22.0,28.0,76.0,0.0,0.0,0.0,17.41272385414419
5710,22.0,30.0,76.0,0.0,0.0,0.0,17.41272385414419
5711,23.0,53.0,79.0,0.0,0.0,0.0,17.41272385414419
5712,25.0,143.0,82.0,4.0,8.0,4.0,181.90997309417045
5713,27.0,49.0,74.0,4.0,4.0,8.0,181.90997309417045
5714,25.0,23.0,73.0,2.0,4.0,4.0,181.90997309417045
5715,25.0,74.0,77.0,1.0,2.0,4.0,181.90997309417045
5716,24.0,123.0,81.0,0.0,1.0,2.0,181.90997309417045
5717,23.0,71.0,76.0,0.0,0.0,1.0,181.90997309417045
5718,23.0,64.0,76.0,1.0,0.0,0.0,181.90997309417045
5719,21.0,50.0,77.0,1.0,1.0,0.0,181.90997309417045
5720,21.0,54.0,73.0,0.0,1.0,1.0,181.90997309417045
5721,22.0,28.0,76.0,0.0,0.0,1.0,181.90997309417045
5722,22.0,30.0,76.0,0.0,0.0,0.0,181.90997309417045
5723,23.0,53.0,79.0,0.0,0.0,0.0,181.90997309417045
5724,25.0,143.0,82.0,0.0,0.0,0.0,31.331474773609308
5725,27.0,49.0,74.0,2.0,0.0,0.0,31.331474773609308
5726,25.0,23.0,73.0,1.0,2.0,0.0,31.331474773609308
5727,25.0,74.0,77.0,1.0,1.0,2.0,31.331474773609308
5728,24.0,123.0,81.0,0.0,1.0,1.0,31.331474773609308
5729,23.0,71.0,76.0,0.0,0.0,1.0,31.331474773609308
5730,23.0,64.0,76.0,0.0,0.0,0.0,31.331474773609308
5731,21.0,50.0,77.0,0.0,0.0,0.0,31.331474773609308
5732,21.0,54.0,73.0,0.0,0.0,0.0,31.331474773609308
5733,22.0,28.0,76.0,0.0,0.0,0.0,31.331474773609308
5734,22.0,30.0,76.0,0.0,0.0,0.0,31.331474773609308
5735,23.0,53.0,79.0,0.0,0.0,0.0,31.331474773609308
5736,25.0,143.0,82.0,2.0,1.0,0.0,81.21446280991736
5737,27.0,49.0,74.0,1.0,2.0,1.0,81.21446280991736
5738,25.0,23.0,73.0,1.0,1.0,2.0,81.21446280991736
5739,25.0,74.0,77.0,0.0,1.0,1.0,81.21446280991736
5740,24.0,123.0,81.0,1.0,0.0,1.0,81.21446280991736
5741,23.0,71.0,76.0,0.0,1.0,0.0,81.21446280991736
5742,23.0,64.0,76.0,1.0,0.0,1.0,81.21446280991736
5743,21.0,50.0,77.0,1.0,1.0,0.0,81.21446280991736
5744,21.0,54.0,73.0,0.0,1.0,1.0,81.21446280991736
5745,22.0,28.0,76.0,0.0,0.0,1.0,81.21446280991736
5746,22.0,30.0,76.0,1.0,0.0,0.0,81.21446280991736
5747,23.0,53.0,79.0,0.0,1.0,0.0,81.21446280991736
5748,25.0,143.0,82.0,1.0,1.0,0.0,128.7687150837989
5749,27.0,49.0,74.0,0.0,1.0,1.0,128.7687150837989
5750,25.0,23.0,73.0,0.0,0.0,1.0,128.7687150837989
5751,25.0,74.0,77.0,0.0,0.0,0.0,128.7687150837989
5752,24.0,123.0,81.0,0.0,0.0,0.0,128.7687150837989
5753,23.0,71.0,76.0,0.0,0.0,0.0,128.7687150837989
5754,23.0,64.0,76.0,0.0,0.0,0.0,128.7687150837989
5755,21.0,50.0,77.0,0.0,0.0,0.0,128.7687150837989
5756,21.0,54.0,73.0,0.0,0.0,0.0,128.7687150837989
5757,22.0,28.0,76.0,0.0,0.0,0.0,128.7687150837989
5758,22.0,30.0,76.0,0.0,0.0,0.0,128.7687150837989
5759,23.0,53.0,79.0,0.0,0.0,0.0,128.7687150837989
5760,28.0,81.0,60.0,0.0,1.0,0.0,190.5257828979393
5761,29.0,154.0,59.0,0.0,0.0,1.0,190.5257828979393
5762,28.0,165.0,66.0,0.0,0.0,0.0,190.5257828979393
5763,26.0,243.0,71.0,3.0,0.0,0.0,190.5257828979393
5764,25.0,64.0,70.0,1.0,3.0,0.0,190.5257828979393
5765,22.0,62.0,72.0,4.0,1.0,3.0,190.5257828979393
5766,21.0,73.0,72.0,8.0,4.0,1.0,190.5257828979393
5767,22.0,12.0,70.0,4.0,8.0,4.0,190.5257828979393
5768,23.0,6.0,63.0,1.0,4.0,8.0,190.5257828979393
5769,24.0,100.0,74.0,0.0,1.0,4.0,190.5257828979393
5770,25.0,14.0,74.0,0.0,0.0,1.0,190.5257828979393
5771,26.0,166.0,77.0,3.0,0.0,0.0,190.5257828979393
5772,28.0,81.0,60.0,0.0,0.0,2.0,176.1245593273124
5773,29.0,154.0,59.0,0.0,0.0,0.0,176.1245593273124
5774,28.0,165.0,66.0,1.0,0.0,0.0,176.1245593273124
5775,26.0,243.0,71.0,2.0,1.0,0.0,176.1245593273124
5776,25.0,64.0,70.0,19.0,2.0,1.0,176.1245593273124
5777,22.0,62.0,72.0,35.0,19.0,2.0,176.1245593273124
5778,21.0,73.0,72.0,45.0,35.0,19.0,176.1245593273124
5779,22.0,12.0,70.0,22.0,45.0,35.0,176.1245593273124
5780,23.0,6.0,63.0,19.0,22.0,45.0,176.1245593273124
5781,24.0,100.0,74.0,13.0,19.0,22.0,176.1245593273124
5782,25.0,14.0,74.0,9.0,13.0,19.0,176.1245593273124
5783,26.0,166.0,77.0,3.0,9.0,13.0,176.1245593273124
5784,28.0,81.0,60.0,0.0,0.0,0.0,3.067295535581048
5785,29.0,154.0,59.0,2.0,0.0,0.0,3.067295535581048
5786,28.0,165.0,66.0,0.0,2.0,0.0,3.067295535581048
5787,26.0,243.0,71.0,1.0,0.0,2.0,3.067295535581048
5788,25.0,64.0,70.0,3.0,1.0,0.0,3.067295535581048
5789,22.0,62.0,72.0,3.0,3.0,1.0,3.067295535581048
5790,21.0,73.0,72.0,1.0,3.0,3.0,3.067295535581048
5791,22.0,12.0,70.0,0.0,1.0,3.0,3.067295535581048
5792,23.0,6.0,63.0,0.0,0.0,1.0,3.067295535581048
5793,24.0,100.0,74.0,1.0,0.0,0.0,3.067295535581048
5794,25.0,14.0,74.0,0.0,1.0,0.0,3.067295535581048
5795,26.0,166.0,77.0,0.0,0.0,1.0,3.067295535581048
5796,28.0,81.0,60.0,0.0,0.0,0.0,132.41633798927677
5797,29.0,154.0,59.0,0.0,0.0,0.0,132.41633798927677
5798,28.0,165.0,66.0,0.0,0.0,0.0,132.41633798927677
5799,26.0,243.0,71.0,7.0,0.0,0.0,132.41633798927677
5800,25.0,64.0,70.0,19.0,7.0,0.0,132.41633798927677
5801,22.0,62.0,72.0,14.0,19.0,7.0,132.41633798927677
5802,21.0,73.0,72.0,19.0,14.0,19.0,132.41633798927677
5803,22.0,12.0,70.0,4.0,19.0,14.0,132.41633798927677
5804,23.0,6.0,63.0,3.0,4.0,19.0,132.41633798927677
5805,24.0,100.0,74.0,1.0,3.0,4.0,132.41633798927677
5806,25.0,14.0,74.0,0.0,1.0,3.0,132.41633798927677
5807,26.0,166.0,77.0,1.0,0.0,1.0,132.41633798927677
5808,28.0,81.0,60.0,0.0,0.0,1.0,180.00004422235
5809,29.0,154.0,59.0,2.0,0.0,0.0,180.00004422235
5810,28.0,165.0,66.0,1.0,2.0,0.0,180.00004422235
5811,26.0,243.0,71.0,4.0,1.0,2.0,180.00004422235
5812,25.0,64.0,70.0,4.0,4.0,1.0,180.00004422235
5813,22.0,62.0,72.0,14.0,4.0,4.0,180.00004422235
5814,21.0,73.0,72.0,15.0,14.0,4.0,180.00004422235
5815,22.0,12.0,70.0,7.0,15.0,14.0,180.00004422235
5816,23.0,6.0,63.0,0.0,7.0,15.0,180.00004422235
5817,24.0,100.0,74.0,0.0,0.0,7.0,180.00004422235
5818,25.0,14.0,74.0,1.0,0.0,0.0,180.00004422235
5819,26.0,166.0,77.0,5.0,1.0,0.0,180.00004422235
5820,28.0,81.0,60.0,0.0,1.0,1.0,71.40283396183294
5821,29.0,154.0,59.0,0.0,0.0,1.0,71.40283396183294
5822,28.0,165.0,66.0,1.0,0.0,0.0,71.40283396183294
5823,26.0,243.0,71.0,3.0,1.0,0.0,71.40283396183294
5824,25.0,64.0,70.0,4.0,3.0,1.0,71.40283396183294
5825,22.0,62.0,72.0,7.0,4.0,3.0,71.40283396183294
5826,21.0,73.0,72.0,5.0,7.0,4.0,71.40283396183294
5827,22.0,12.0,70.0,2.0,5.0,7.0,71.40283396183294
5828,23.0,6.0,63.0,2.0,2.0,5.0,71.40283396183294
5829,24.0,100.0,74.0,0.0,2.0,2.0,71.40283396183294
5830,25.0,14.0,74.0,1.0,0.0,2.0,71.40283396183294
5831,26.0,166.0,77.0,1.0,1.0,0.0,71.40283396183294
5832,28.0,81.0,60.0,9.0,10.0,18.0,69.89652785114913
5833,29.0,154.0,59.0,14.0,9.0,10.0,69.89652785114913
5834,28.0,165.0,66.0,37.0,14.0,9.0,69.89652785114913
5835,26.0,243.0,71.0,93.0,37.0,14.0,69.89652785114913
5836,25.0,64.0,70.0,442.0,93.0,37.0,69.89652785114913
5837,22.0,62.0,72.0,969.0,442.0,93.0,69.89652785114913
5838,21.0,73.0,72.0,442.0,969.0,442.0,69.89652785114913
5839,22.0,12.0,70.0,160.0,442.0,969.0,69.89652785114913
5840,23.0,6.0,63.0,55.0,160.0,442.0,69.89652785114913
5841,24.0,100.0,74.0,15.0,55.0,160.0,69.89652785114913
5842,25.0,14.0,74.0,12.0,15.0,55.0,69.89652785114913
5843,26.0,166.0,77.0,29.0,12.0,15.0,69.89652785114913
5844,28.0,81.0,60.0,0.0,0.0,0.0,84.26629154823367
5845,29.0,154.0,59.0,0.0,0.0,0.0,84.26629154823367
5846,28.0,165.0,66.0,1.0,0.0,0.0,84.26629154823367
5847,26.0,243.0,71.0,3.0,1.0,0.0,84.26629154823367
5848,25.0,64.0,70.0,4.0,3.0,1.0,84.26629154823367
5849,22.0,62.0,72.0,10.0,4.0,3.0,84.26629154823367
5850,21.0,73.0,72.0,6.0,10.0,4.0,84.26629154823367
5851,22.0,12.0,70.0,6.0,6.0,10.0,84.26629154823367
5852,23.0,6.0,63.0,9.0,6.0,6.0,84.26629154823367
5853,24.0,100.0,74.0,3.0,9.0,6.0,84.26629154823367
5854,25.0,14.0,74.0,0.0,3.0,9.0,84.26629154823367
5855,26.0,166.0,77.0,1.0,0.0,3.0,84.26629154823367
5856,28.0,81.0,60.0,0.0,0.0,1.0,149.3535706058512
5857,29.0,154.0,59.0,0.0,0.0,0.0,149.3535706058512
5858,28.0,165.0,66.0,0.0,0.0,0.0,149.3535706058512
5859,26.0,243.0,71.0,2.0,0.0,0.0,149.3535706058512
5860,25.0,64.0,70.0,11.0,2.0,0.0,149.3535706058512
5861,22.0,62.0,72.0,10.0,11.0,2.0,149.3535706058512
5862,21.0,73.0,72.0,5.0,10.0,11.0,149.3535706058512
5863,22.0,12.0,70.0,4.0,5.0,10.0,149.3535706058512
5864,23.0,6.0,63.0,1.0,4.0,5.0,149.3535706058512
5865,24.0,100.0,74.0,1.0,1.0,4.0,149.3535706058512
5866,25.0,14.0,74.0,1.0,1.0,1.0,149.3535706058512
5867,26.0,166.0,77.0,1.0,1.0,1.0,149.3535706058512
5868,28.0,81.0,60.0,0.0,1.0,1.0,148.76897096583056
5869,29.0,154.0,59.0,0.0,0.0,1.0,148.76897096583056
5870,28.0,165.0,66.0,0.0,0.0,0.0,148.76897096583056
5871,26.0,243.0,71.0,2.0,0.0,0.0,148.76897096583056
5872,25.0,64.0,70.0,20.0,2.0,0.0,148.76897096583056
5873,22.0,62.0,72.0,28.0,20.0,2.0,148.76897096583056
5874,21.0,73.0,72.0,23.0,28.0,20.0,148.76897096583056
5875,22.0,12.0,70.0,9.0,23.0,28.0,148.76897096583056
5876,23.0,6.0,63.0,13.0,9.0,23.0,148.76897096583056
5877,24.0,100.0,74.0,5.0,13.0,9.0,148.76897096583056
5878,25.0,14.0,74.0,6.0,5.0,13.0,148.76897096583056
5879,26.0,166.0,77.0,4.0,6.0,5.0,148.76897096583056
5880,28.0,81.0,60.0,0.0,0.0,0.0,87.95369368550257
5881,29.0,154.0,59.0,1.0,0.0,0.0,87.95369368550257
5882,28.0,165.0,66.0,1.0,1.0,0.0,87.95369368550257
5883,26.0,243.0,71.0,4.0,1.0,1.0,87.95369368550257
5884,25.0,64.0,70.0,14.0,4.0,1.0,87.95369368550257
5885,22.0,62.0,72.0,26.0,14.0,4.0,87.95369368550257
5886,21.0,73.0,72.0,28.0,26.0,14.0,87.95369368550257
5887,22.0,12.0,70.0,9.0,28.0,26.0,87.95369368550257
5888,23.0,6.0,63.0,4.0,9.0,28.0,87.95369368550257
5889,24.0,100.0,74.0,2.0,4.0,9.0,87.95369368550257
5890,25.0,14.0,74.0,1.0,2.0,4.0,87.95369368550257
5891,26.0,166.0,77.0,3.0,1.0,2.0,87.95369368550257
5892,28.0,81.0,60.0,0.0,0.0,0.0,173.8559650218613
5893,29.0,154.0,59.0,2.0,0.0,0.0,173.8559650218613
5894,28.0,165.0,66.0,0.0,2.0,0.0,173.8559650218613
5895,26.0,243.0,71.0,4.0,0.0,2.0,173.8559650218613
5896,25.0,64.0,70.0,12.0,4.0,0.0,173.8559650218613
5897,22.0,62.0,72.0,14.0,12.0,4.0,173.8559650218613
5898,21.0,73.0,72.0,27.0,14.0,12.0,173.8559650218613
5899,22.0,12.0,70.0,26.0,27.0,14.0,173.8559650218613
5900,23.0,6.0,63.0,12.0,26.0,27.0,173.8559650218613
5901,24.0,100.0,74.0,3.0,12.0,26.0,173.8559650218613
5902,25.0,14.0,74.0,6.0,3.0,12.0,173.8559650218613
5903,26.0,166.0,77.0,6.0,6.0,3.0,173.8559650218613
5904,28.0,81.0,60.0,0.0,1.0,0.0,194.9031641631855
5905,29.0,154.0,59.0,1.0,0.0,1.0,194.9031641631855
5906,28.0,165.0,66.0,3.0,1.0,0.0,194.9031641631855
5907,26.0,243.0,71.0,4.0,3.0,1.0,194.9031641631855
5908,25.0,64.0,70.0,13.0,4.0,3.0,194.9031641631855
5909,22.0,62.0,72.0,24.0,13.0,4.0,194.9031641631855
5910,21.0,73.0,72.0,12.0,24.0,13.0,194.9031641631855
5911,22.0,12.0,70.0,8.0,12.0,24.0,194.9031641631855
5912,23.0,6.0,63.0,2.0,8.0,12.0,194.9031641631855
5913,24.0,100.0,74.0,1.0,2.0,8.0,194.9031641631855
5914,25.0,14.0,74.0,2.0,1.0,2.0,194.9031641631855
5915,26.0,166.0,77.0,2.0,2.0,1.0,194.9031641631855
5916,28.0,81.0,60.0,0.0,0.0,1.0,2.299100441314236
5917,29.0,154.0,59.0,0.0,0.0,0.0,2.299100441314236
5918,28.0,165.0,66.0,0.0,0.0,0.0,2.299100441314236
5919,26.0,243.0,71.0,0.0,0.0,0.0,2.299100441314236
5920,25.0,64.0,70.0,2.0,0.0,0.0,2.299100441314236
5921,22.0,62.0,72.0,1.0,2.0,0.0,2.299100441314236
5922,21.0,73.0,72.0,0.0,1.0,2.0,2.299100441314236
5923,22.0,12.0,70.0,1.0,0.0,1.0,2.299100441314236
5924,23.0,6.0,63.0,0.0,1.0,0.0,2.299100441314236
5925,24.0,100.0,74.0,0.0,0.0,1.0,2.299100441314236
5926,25.0,14.0,74.0,0.0,0.0,0.0,2.299100441314236
5927,26.0,166.0,77.0,1.0,0.0,0.0,2.299100441314236
5928,28.0,81.0,60.0,0.0,0.0,0.0,106.6663687150838
5929,29.0,154.0,59.0,1.0,0.0,0.0,106.6663687150838
5930,28.0,165.0,66.0,1.0,1.0,0.0,106.6663687150838
5931,26.0,243.0,71.0,2.0,1.0,1.0,106.6663687150838
5932,25.0,64.0,70.0,7.0,2.0,1.0,106.6663687150838
5933,22.0,62.0,72.0,20.0,7.0,2.0,106.6663687150838
5934,21.0,73.0,72.0,8.0,20.0,7.0,106.6663687150838
5935,22.0,12.0,70.0,1.0,8.0,20.0,106.6663687150838
5936,23.0,6.0,63.0,5.0,1.0,8.0,106.6663687150838
5937,24.0,100.0,74.0,3.0,5.0,1.0,106.6663687150838
5938,25.0,14.0,74.0,2.0,3.0,5.0,106.6663687150838
5939,26.0,166.0,77.0,1.0,2.0,3.0,106.6663687150838
5940,28.0,81.0,60.0,2.0,3.0,5.0,32.50842595775197
5941,29.0,154.0,59.0,4.0,2.0,3.0,32.50842595775197
5942,28.0,165.0,66.0,1.0,4.0,2.0,32.50842595775197
5943,26.0,243.0,71.0,23.0,1.0,4.0,32.50842595775197
5944,25.0,64.0,70.0,79.0,23.0,1.0,32.50842595775197
5945,22.0,62.0,72.0,83.0,79.0,23.0,32.50842595775197
5946,21.0,73.0,72.0,55.0,83.0,79.0,32.50842595775197
5947,22.0,12.0,70.0,8.0,55.0,83.0,32.50842595775197
5948,23.0,6.0,63.0,8.0,8.0,55.0,32.50842595775197
5949,24.0,100.0,74.0,6.0,8.0,8.0,32.50842595775197
5950,25.0,14.0,74.0,7.0,6.0,8.0,32.50842595775197
5951,26.0,166.0,77.0,10.0,7.0,6.0,32.50842595775197
5952,28.0,81.0,60.0,0.0,0.0,0.0,4.339728807305599
5953,29.0,154.0,59.0,0.0,0.0,0.0,4.339728807305599
5954,28.0,165.0,66.0,0.0,0.0,0.0,4.339728807305599
5955,26.0,243.0,71.0,0.0,0.0,0.0,4.339728807305599
5956,25.0,64.0,70.0,0.0,0.0,0.0,4.339728807305599
5957,22.0,62.0,72.0,1.0,0.0,0.0,4.339728807305599
5958,21.0,73.0,72.0,1.0,1.0,0.0,4.339728807305599
5959,22.0,12.0,70.0,0.0,1.0,1.0,4.339728807305599
5960,23.0,6.0,63.0,0.0,0.0,1.0,4.339728807305599
5961,24.0,100.0,74.0,0.0,0.0,0.0,4.339728807305599
5962,25.0,14.0,74.0,1.0,0.0,0.0,4.339728807305599
5963,26.0,166.0,77.0,0.0,1.0,0.0,4.339728807305599
5964,28.0,81.0,60.0,0.0,1.0,0.0,125.49314547375836
5965,29.0,154.0,59.0,0.0,0.0,1.0,125.49314547375836
5966,28.0,165.0,66.0,1.0,0.0,0.0,125.49314547375836
5967,26.0,243.0,71.0,1.0,1.0,0.0,125.49314547375836
5968,25.0,64.0,70.0,9.0,1.0,1.0,125.49314547375836
5969,22.0,62.0,72.0,17.0,9.0,1.0,125.49314547375836
5970,21.0,73.0,72.0,24.0,17.0,9.0,125.49314547375836
5971,22.0,12.0,70.0,11.0,24.0,17.0,125.49314547375836
5972,23.0,6.0,63.0,5.0,11.0,24.0,125.49314547375836
5973,24.0,100.0,74.0,6.0,5.0,11.0,125.49314547375836
5974,25.0,14.0,74.0,15.0,6.0,5.0,125.49314547375836
5975,26.0,166.0,77.0,6.0,15.0,6.0,125.49314547375836
5976,28.0,81.0,60.0,1.0,2.0,1.0,365.2707488986785
5977,29.0,154.0,59.0,2.0,1.0,2.0,365.2707488986785
5978,28.0,165.0,66.0,0.0,2.0,1.0,365.2707488986785
5979,26.0,243.0,71.0,9.0,0.0,2.0,365.2707488986785
5980,25.0,64.0,70.0,34.0,9.0,0.0,365.2707488986785
5981,22.0,62.0,72.0,63.0,34.0,9.0,365.2707488986785
5982,21.0,73.0,72.0,28.0,63.0,34.0,365.2707488986785
5983,22.0,12.0,70.0,11.0,28.0,63.0,365.2707488986785
5984,23.0,6.0,63.0,0.0,11.0,28.0,365.2707488986785
5985,24.0,100.0,74.0,1.0,0.0,11.0,365.2707488986785
5986,25.0,14.0,74.0,2.0,1.0,0.0,365.2707488986785
5987,26.0,166.0,77.0,6.0,2.0,1.0,365.2707488986785
5988,28.0,81.0,60.0,0.0,0.0,0.0,240.646969416126
5989,29.0,154.0,59.0,2.0,0.0,0.0,240.646969416126
5990,28.0,165.0,66.0,0.0,2.0,0.0,240.646969416126
5991,26.0,243.0,71.0,3.0,0.0,2.0,240.646969416126
5992,25.0,64.0,70.0,15.0,3.0,0.0,240.646969416126
5993,22.0,62.0,72.0,17.0,15.0,3.0,240.646969416126
5994,21.0,73.0,72.0,10.0,17.0,15.0,240.646969416126
5995,22.0,12.0,70.0,10.0,10.0,17.0,240.646969416126
5996,23.0,6.0,63.0,5.0,10.0,10.0,240.646969416126
5997,24.0,100.0,74.0,4.0,5.0,10.0,240.646969416126
5998,25.0,14.0,74.0,1.0,4.0,5.0,240.646969416126
5999,26.0,166.0,77.0,3.0,1.0,4.0,240.646969416126
6000,28.0,81.0,60.0,0.0,1.0,0.0,86.74078270360171
6001,29.0,154.0,59.0,0.0,0.0,1.0,86.74078270360171
6002,28.0,165.0,66.0,1.0,0.0,0.0,86.74078270360171
6003,26.0,243.0,71.0,1.0,1.0,0.0,86.74078270360171
6004,25.0,64.0,70.0,3.0,1.0,1.0,86.74078270360171
6005,22.0,62.0,72.0,5.0,3.0,1.0,86.74078270360171
6006,21.0,73.0,72.0,6.0,5.0,3.0,86.74078270360171
6007,22.0,12.0,70.0,2.0,6.0,5.0,86.74078270360171
6008,23.0,6.0,63.0,2.0,2.0,6.0,86.74078270360171
6009,24.0,100.0,74.0,1.0,2.0,2.0,86.74078270360171
6010,25.0,14.0,74.0,3.0,1.0,2.0,86.74078270360171
6011,26.0,166.0,77.0,3.0,3.0,1.0,86.74078270360171
6012,28.0,81.0,60.0,0.0,0.0,1.0,60.45399507968767
6013,29.0,154.0,59.0,0.0,0.0,0.0,60.45399507968767
6014,28.0,165.0,66.0,0.0,0.0,0.0,60.45399507968767
6015,26.0,243.0,71.0,1.0,0.0,0.0,60.45399507968767
6016,25.0,64.0,70.0,3.0,1.0,0.0,60.45399507968767
6017,22.0,62.0,72.0,7.0,3.0,1.0,60.45399507968767
6018,21.0,73.0,72.0,3.0,7.0,3.0,60.45399507968767
6019,22.0,12.0,70.0,1.0,3.0,7.0,60.45399507968767
6020,23.0,6.0,63.0,0.0,1.0,3.0,60.45399507968767
6021,24.0,100.0,74.0,0.0,0.0,1.0,60.45399507968767
6022,25.0,14.0,74.0,0.0,0.0,0.0,60.45399507968767
6023,26.0,166.0,77.0,0.0,0.0,0.0,60.45399507968767
6024,28.0,81.0,60.0,0.0,0.0,0.0,296.5947368421053
6025,29.0,154.0,59.0,0.0,0.0,0.0,296.5947368421053
6026,28.0,165.0,66.0,1.0,0.0,0.0,296.5947368421053
6027,26.0,243.0,71.0,0.0,1.0,0.0,296.5947368421053
6028,25.0,64.0,70.0,5.0,0.0,1.0,296.5947368421053
6029,22.0,62.0,72.0,11.0,5.0,0.0,296.5947368421053
6030,21.0,73.0,72.0,2.0,11.0,5.0,296.5947368421053
6031,22.0,12.0,70.0,2.0,2.0,11.0,296.5947368421053
6032,23.0,6.0,63.0,0.0,2.0,2.0,296.5947368421053
6033,24.0,100.0,74.0,0.0,0.0,2.0,296.5947368421053
6034,25.0,14.0,74.0,0.0,0.0,0.0,296.5947368421053
6035,26.0,166.0,77.0,3.0,0.0,0.0,296.5947368421053
6036,28.0,81.0,60.0,0.0,0.0,0.0,133.46091560509555
6037,29.0,154.0,59.0,1.0,0.0,0.0,133.46091560509555
6038,28.0,165.0,66.0,1.0,1.0,0.0,133.46091560509555
6039,26.0,243.0,71.0,5.0,1.0,1.0,133.46091560509555
6040,25.0,64.0,70.0,17.0,5.0,1.0,133.46091560509555
6041,22.0,62.0,72.0,21.0,17.0,5.0,133.46091560509555
6042,21.0,73.0,72.0,15.0,21.0,17.0,133.46091560509555
6043,22.0,12.0,70.0,16.0,15.0,21.0,133.46091560509555
6044,23.0,6.0,63.0,15.0,16.0,15.0,133.46091560509555
6045,24.0,100.0,74.0,17.0,15.0,16.0,133.46091560509555
6046,25.0,14.0,74.0,2.0,17.0,15.0,133.46091560509555
6047,26.0,166.0,77.0,8.0,2.0,17.0,133.46091560509555
6048,28.0,81.0,60.0,0.0,0.0,0.0,133.73725178010702
6049,29.0,154.0,59.0,2.0,0.0,0.0,133.73725178010702
6050,28.0,165.0,66.0,0.0,2.0,0.0,133.73725178010702
6051,26.0,243.0,71.0,5.0,0.0,2.0,133.73725178010702
6052,25.0,64.0,70.0,29.0,5.0,0.0,133.73725178010702
6053,22.0,62.0,72.0,49.0,29.0,5.0,133.73725178010702
6054,21.0,73.0,72.0,58.0,49.0,29.0,133.73725178010702
6055,22.0,12.0,70.0,33.0,58.0,49.0,133.73725178010702
6056,23.0,6.0,63.0,23.0,33.0,58.0,133.73725178010702
6057,24.0,100.0,74.0,10.0,23.0,33.0,133.73725178010702
6058,25.0,14.0,74.0,17.0,10.0,23.0,133.73725178010702
6059,26.0,166.0,77.0,17.0,17.0,10.0,133.73725178010702
6060,28.0,81.0,60.0,0.0,0.0,2.0,241.4599007058665
6061,29.0,154.0,59.0,2.0,0.0,0.0,241.4599007058665
6062,28.0,165.0,66.0,1.0,2.0,0.0,241.4599007058665
6063,26.0,243.0,71.0,13.0,1.0,2.0,241.4599007058665
6064,25.0,64.0,70.0,55.0,13.0,1.0,241.4599007058665
6065,22.0,62.0,72.0,142.0,55.0,13.0,241.4599007058665
6066,21.0,73.0,72.0,71.0,142.0,55.0,241.4599007058665
6067,22.0,12.0,70.0,20.0,71.0,142.0,241.4599007058665
6068,23.0,6.0,63.0,11.0,20.0,71.0,241.4599007058665
6069,24.0,100.0,74.0,3.0,11.0,20.0,241.4599007058665
6070,25.0,14.0,74.0,2.0,3.0,11.0,241.4599007058665
6071,26.0,166.0,77.0,4.0,2.0,3.0,241.4599007058665
6072,28.0,81.0,60.0,0.0,0.0,0.0,83.16024649859945
6073,29.0,154.0,59.0,0.0,0.0,0.0,83.16024649859945
6074,28.0,165.0,66.0,0.0,0.0,0.0,83.16024649859945
6075,26.0,243.0,71.0,4.0,0.0,0.0,83.16024649859945
6076,25.0,64.0,70.0,6.0,4.0,0.0,83.16024649859945
6077,22.0,62.0,72.0,8.0,6.0,4.0,83.16024649859945
6078,21.0,73.0,72.0,3.0,8.0,6.0,83.16024649859945
6079,22.0,12.0,70.0,1.0,3.0,8.0,83.16024649859945
6080,23.0,6.0,63.0,0.0,1.0,3.0,83.16024649859945
6081,24.0,100.0,74.0,0.0,0.0,1.0,83.16024649859945
6082,25.0,14.0,74.0,0.0,0.0,0.0,83.16024649859945
6083,26.0,166.0,77.0,0.0,0.0,0.0,83.16024649859945
6084,28.0,81.0,60.0,2.0,1.0,3.0,70.70696811202968
6085,29.0,154.0,59.0,0.0,2.0,1.0,70.70696811202968
6086,28.0,165.0,66.0,1.0,0.0,2.0,70.70696811202968
6087,26.0,243.0,71.0,12.0,1.0,0.0,70.70696811202968
