nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
Anchieta;70.0;2012;1;-6,08635E+23;216.0;26.0;7.0;12.998.315.576.316.800;4.0;1.0;0.0;25.0;242.0;70.0;-6,08635E+18
Anchieta;100.0;2012;2;-6,08635E+23;26.0;28.0;6.0;12.998.315.576.316.800;70.0;4.0;1.0;26.0;216.0;72.0;-6,08635E+18
Anchieta;213.0;2012;3;-6,08635E+23;161.0;26.0;3.0;12.998.315.576.316.800;100.0;70.0;4.0;28.0;26.0;61.0;-6,08635E+18
Anchieta;651.0;2012;4;-6,08635E+23;24.0;25.0;3.0;12.998.315.576.316.800;213.0;100.0;70.0;26.0;161.0;69.0;-6,08635E+18
Anchieta;528.0;2012;5;-6,08635E+23;1.0;23.0;0.0;12.998.315.576.316.800;651.0;213.0;100.0;25.0;24.0;74.0;-6,08635E+18
Anchieta;163.0;2012;6;-6,08635E+23;1.0;25.0;0.0;12.998.315.576.316.800;528.0;651.0;213.0;23.0;1.0;74.0;-6,08635E+18
Anchieta;52.0;2012;7;-6,08635E+23;0.0;22.0;0.0;12.998.315.576.316.800;163.0;528.0;651.0;25.0;1.0;74.0;-6,08635E+18
Anchieta;25.0;2012;8;-6,08635E+23;26.0;21.0;1.0;12.998.315.576.316.800;52.0;163.0;528.0;22.0;0.0;73.0;-6,08635E+18
Anchieta;9.0;2012;9;-6,08635E+23;95.0;23.0;4.0;12.998.315.576.316.800;25.0;52.0;163.0;21.0;26.0;68.0;-6,08635E+18
Anchieta;15.0;2012;10;-6,08635E+24;60.0;25.0;70.0;12.998.315.576.316.800;9.0;25.0;52.0;23.0;95.0;65.0;-6,08635E+18
Anchieta;14.0;2012;11;-6,08635E+24;94.0;24.0;100.0;12.998.315.576.316.800;15.0;9.0;25.0;25.0;60.0;64.0;-6,08635E+18
Anchieta;10.0;2012;12;-6,08635E+24;80.0;29.0;213.0;12.998.315.576.316.800;14.0;15.0;9.0;24.0;94.0;73.0;-6,08635E+18
AndaraÃ­;22.0;2012;1;-2,70661E+23;216.0;26.0;0.0;17.669.249.988.944.400;0.0;0.0;0.0;25.0;242.0;70.0;-2,70661E+18
AndaraÃ­;22.0;2012;2;-2,70661E+23;26.0;28.0;0.0;17.669.249.988.944.400;22.0;0.0;0.0;26.0;216.0;72.0;-2,70661E+18
AndaraÃ­;52.0;2012;3;-2,70661E+23;161.0;26.0;0.0;17.669.249.988.944.400;22.0;22.0;0.0;28.0;26.0;61.0;-2,70661E+18
AndaraÃ­;95.0;2012;4;-2,70661E+23;24.0;25.0;0.0;17.669.249.988.944.400;52.0;22.0;22.0;26.0;161.0;69.0;-2,70661E+18
AndaraÃ­;126.0;2012;5;-2,70661E+23;1.0;23.0;0.0;17.669.249.988.944.400;95.0;52.0;22.0;25.0;24.0;74.0;-2,70661E+18
AndaraÃ­;49.0;2012;6;-2,70661E+23;1.0;25.0;0.0;17.669.249.988.944.400;126.0;95.0;52.0;23.0;1.0;74.0;-2,70661E+18
AndaraÃ­;20.0;2012;7;-2,70661E+23;0.0;22.0;0.0;17.669.249.988.944.400;49.0;126.0;95.0;25.0;1.0;74.0;-2,70661E+18
AndaraÃ­;12.0;2012;8;-2,70661E+23;26.0;21.0;0.0;17.669.249.988.944.400;20.0;49.0;126.0;22.0;0.0;73.0;-2,70661E+18
AndaraÃ­;9.0;2012;9;-2,70661E+23;95.0;23.0;0.0;17.669.249.988.944.400;12.0;20.0;49.0;21.0;26.0;68.0;-2,70661E+18
AndaraÃ­;7.0;2012;10;-2,70661E+24;60.0;25.0;22.0;17.669.249.988.944.400;9.0;12.0;20.0;23.0;95.0;65.0;-2,70661E+18
AndaraÃ­;7.0;2012;11;-2,70661E+24;94.0;24.0;22.0;17.669.249.988.944.400;7.0;9.0;12.0;25.0;60.0;64.0;-2,70661E+18
AndaraÃ­;21.0;2012;12;-2,70661E+24;80.0;29.0;52.0;17.669.249.988.944.400;7.0;7.0;9.0;24.0;94.0;73.0;-2,70661E+18
Anil;22.0;2012;1;-6,92229E+23;216.0;26.0;159.0;7.009.078.962.404.290;22.0;14.0;7.0;25.0;242.0;70.0;-6,92229E+18
Anil;26.0;2012;2;-6,92229E+23;26.0;28.0;125.0;7.009.078.962.404.290;22.0;22.0;14.0;26.0;216.0;72.0;-6,92229E+18
Anil;82.0;2012;3;-6,92229E+23;161.0;26.0;35.0;7.009.078.962.404.290;26.0;22.0;22.0;28.0;26.0;61.0;-6,92229E+18
Anil;103.0;2012;4;-6,92229E+23;24.0;25.0;9.0;7.009.078.962.404.290;82.0;26.0;22.0;26.0;161.0;69.0;-6,92229E+18
Anil;53.0;2012;5;-6,92229E+23;1.0;23.0;4.0;7.009.078.962.404.290;103.0;82.0;26.0;25.0;24.0;74.0;-6,92229E+18
Anil;29.0;2012;6;-6,92229E+23;1.0;25.0;2.0;7.009.078.962.404.290;53.0;103.0;82.0;23.0;1.0;74.0;-6,92229E+18
Anil;3.0;2012;7;-6,92229E+23;0.0;22.0;7.0;7.009.078.962.404.290;29.0;53.0;103.0;25.0;1.0;74.0;-6,92229E+18
Anil;0.0;2012;8;-6,92229E+23;26.0;21.0;14.0;7.009.078.962.404.290;3.0;29.0;53.0;22.0;0.0;73.0;-6,92229E+18
Anil;1.0;2012;9;-6,92229E+23;95.0;23.0;22.0;7.009.078.962.404.290;0.0;3.0;29.0;21.0;26.0;68.0;-6,92229E+18
Anil;1.0;2012;10;-6,92229E+24;60.0;25.0;22.0;7.009.078.962.404.290;1.0;0.0;3.0;23.0;95.0;65.0;-6,92229E+18
Anil;2.0;2012;11;-6,92229E+24;94.0;24.0;26.0;7.009.078.962.404.290;1.0;1.0;0.0;25.0;60.0;64.0;-6,92229E+18
Anil;6.0;2012;12;-6,92229E+24;80.0;29.0;82.0;7.009.078.962.404.290;2.0;1.0;1.0;24.0;94.0;73.0;-6,92229E+18
Bangu;336.0;2012;1;-7,05106E+23;216.0;26.0;1175.0;6.861.216.225.233.690;208.0;33.0;36.0;25.0;242.0;70.0;-7,05106E+18
Bangu;1058.0;2012;2;-7,05106E+23;26.0;28.0;682.0;6.861.216.225.233.690;336.0;208.0;33.0;26.0;216.0;72.0;-7,05106E+18
Bangu;2887.0;2012;3;-7,05106E+23;161.0;26.0;161.0;6.861.216.225.233.690;1058.0;336.0;208.0;28.0;26.0;61.0;-7,05106E+18
Bangu;4371.0;2012;4;-7,05106E+23;24.0;25.0;19.0;6.861.216.225.233.690;2887.0;1058.0;336.0;26.0;161.0;69.0;-7,05106E+18
Bangu;2081.0;2012;5;-7,05106E+23;1.0;23.0;9.0;6.861.216.225.233.690;4371.0;2887.0;1058.0;25.0;24.0;74.0;-7,05106E+18
Bangu;700.0;2012;6;-7,05106E+23;1.0;25.0;15.0;6.861.216.225.233.690;2081.0;4371.0;2887.0;23.0;1.0;74.0;-7,05106E+18
Bangu;147.0;2012;7;-7,05106E+23;0.0;22.0;36.0;6.861.216.225.233.690;700.0;2081.0;4371.0;25.0;1.0;74.0;-7,05106E+18
Bangu;75.0;2012;8;-7,05106E+23;26.0;21.0;33.0;6.861.216.225.233.690;147.0;700.0;2081.0;22.0;0.0;73.0;-7,05106E+18
Bangu;43.0;2012;9;-7,05106E+23;95.0;23.0;208.0;6.861.216.225.233.690;75.0;147.0;700.0;21.0;26.0;68.0;-7,05106E+18
Bangu;48.0;2012;10;-7,05106E+24;60.0;25.0;336.0;6.861.216.225.233.690;43.0;75.0;147.0;23.0;95.0;65.0;-7,05106E+18
Bangu;49.0;2012;11;-7,05106E+24;94.0;24.0;1058.0;6.861.216.225.233.690;48.0;43.0;75.0;25.0;60.0;64.0;-7,05106E+18
Bangu;67.0;2012;12;-7,05106E+24;80.0;29.0;2887.0;6.861.216.225.233.690;49.0;48.0;43.0;24.0;94.0;73.0;-7,05106E+18
Barros Filho;12.0;2012;1;-9,1249E+23;216.0;26.0;110.0;8.271.787.806.717.320;22.0;11.0;8.0;25.0;242.0;70.0;-9,1249E+18
Barros Filho;21.0;2012;2;-9,1249E+23;26.0;28.0;40.0;8.271.787.806.717.320;12.0;22.0;11.0;26.0;216.0;72.0;-9,1249E+18
Barros Filho;30.0;2012;3;-9,1249E+23;161.0;26.0;15.0;8.271.787.806.717.320;21.0;12.0;22.0;28.0;26.0;61.0;-9,1249E+18
Barros Filho;65.0;2012;4;-9,1249E+23;24.0;25.0;9.0;8.271.787.806.717.320;30.0;21.0;12.0;26.0;161.0;69.0;-9,1249E+18
Barros Filho;54.0;2012;5;-9,1249E+23;1.0;23.0;5.0;8.271.787.806.717.320;65.0;30.0;21.0;25.0;24.0;74.0;-9,1249E+18
Barros Filho;21.0;2012;6;-9,1249E+23;1.0;25.0;8.0;8.271.787.806.717.320;54.0;65.0;30.0;23.0;1.0;74.0;-9,1249E+18
Barros Filho;4.0;2012;7;-9,1249E+23;0.0;22.0;8.0;8.271.787.806.717.320;21.0;54.0;65.0;25.0;1.0;74.0;-9,1249E+18
Barros Filho;3.0;2012;8;-9,1249E+23;26.0;21.0;11.0;8.271.787.806.717.320;4.0;21.0;54.0;22.0;0.0;73.0;-9,1249E+18
Barros Filho;0.0;2012;9;-9,1249E+23;95.0;23.0;22.0;8.271.787.806.717.320;3.0;4.0;21.0;21.0;26.0;68.0;-9,1249E+18
Barros Filho;1.0;2012;10;-9,1249E+24;60.0;25.0;12.0;8.271.787.806.717.320;0.0;3.0;4.0;23.0;95.0;65.0;-9,1249E+18
Barros Filho;0.0;2012;11;-9,1249E+24;94.0;24.0;21.0;8.271.787.806.717.320;1.0;0.0;3.0;25.0;60.0;64.0;-9,1249E+18
Barros Filho;0.0;2012;12;-9,1249E+24;80.0;29.0;30.0;8.271.787.806.717.320;0.0;1.0;0.0;24.0;94.0;73.0;-9,1249E+18
Benfica;10.0;2012;1;-4,23897E+23;216.0;26.0;68.0;14.660.916.263.533.700;12.0;11.0;1.0;25.0;242.0;70.0;-4,23897E+18
Benfica;47.0;2012;2;-4,23897E+23;26.0;28.0;23.0;14.660.916.263.533.700;10.0;12.0;11.0;26.0;216.0;72.0;-4,23897E+18
Benfica;66.0;2012;3;-4,23897E+23;161.0;26.0;5.0;14.660.916.263.533.700;47.0;10.0;12.0;28.0;26.0;61.0;-4,23897E+18
