nome_distrito;dengue_diagnosis;ano;mes;chave;precipitacao (mm);temperatura (°C);umidade ar (%);densidade_demografica;t-1;t-2;t-3;precipitacao (mm)-1;temperatura (°C)-1;umidade ar (%)-1;cod_distrito
Anchieta;213.0;2012;3;-608634872802597816320123;161.0;26.0;3.0;129.98315576316818;100.0;70.0;4.0;28.0;26.0;61.0;-6086348728025978163
Anchieta;651.0;2012;4;-608634872802597816320124;24.0;25.0;3.0;129.98315576316818;213.0;100.0;70.0;26.0;161.0;69.0;-6086348728025978163
Anchieta;528.0;2012;5;-608634872802597816320125;1.0;23.0;0.0;129.98315576316818;651.0;213.0;100.0;25.0;24.0;74.0;-6086348728025978163
Anchieta;163.0;2012;6;-608634872802597816320126;1.0;25.0;0.0;129.98315576316818;528.0;651.0;213.0;23.0;1.0;74.0;-6086348728025978163
Anchieta;52.0;2012;7;-608634872802597816320127;0.0;22.0;0.0;129.98315576316818;163.0;528.0;651.0;25.0;1.0;74.0;-6086348728025978163
Anchieta;25.0;2012;8;-608634872802597816320128;26.0;21.0;1.0;129.98315576316818;52.0;163.0;528.0;22.0;0.0;73.0;-6086348728025978163
Anchieta;9.0;2012;9;-608634872802597816320129;95.0;23.0;4.0;129.98315576316818;25.0;52.0;163.0;21.0;26.0;68.0;-6086348728025978163
Anchieta;15.0;2012;10;-6086348728025978163201210;60.0;25.0;70.0;129.98315576316818;9.0;25.0;52.0;23.0;95.0;65.0;-6086348728025978163
Anchieta;14.0;2012;11;-6086348728025978163201211;94.0;24.0;100.0;129.98315576316818;15.0;9.0;25.0;25.0;60.0;64.0;-6086348728025978163
Anchieta;10.0;2012;12;-6086348728025978163201212;80.0;29.0;213.0;129.98315576316818;14.0;15.0;9.0;24.0;94.0;73.0;-6086348728025978163
AndaraÃ­;22.0;2012;1;-270660772668335440720121;216.0;26.0;0.0;176.69249988944412;0.0;0.0;0.0;25.0;242.0;70.0;-2706607726683354407
AndaraÃ­;22.0;2012;2;-270660772668335440720122;26.0;28.0;0.0;176.69249988944412;22.0;0.0;0.0;26.0;216.0;72.0;-2706607726683354407
AndaraÃ­;52.0;2012;3;-270660772668335440720123;161.0;26.0;0.0;176.69249988944412;22.0;22.0;0.0;28.0;26.0;61.0;-2706607726683354407
AndaraÃ­;95.0;2012;4;-270660772668335440720124;24.0;25.0;0.0;176.69249988944412;52.0;22.0;22.0;26.0;161.0;69.0;-2706607726683354407
AndaraÃ­;126.0;2012;5;-270660772668335440720125;1.0;23.0;0.0;176.69249988944412;95.0;52.0;22.0;25.0;24.0;74.0;-2706607726683354407
AndaraÃ­;49.0;2012;6;-270660772668335440720126;1.0;25.0;0.0;176.69249988944412;126.0;95.0;52.0;23.0;1.0;74.0;-2706607726683354407
