,dengue_diagnosis
530,35.0
531,63.0
532,84.0
533,37.0
534,9.0
535,5.0
536,3.0
537,0.0
538,1.0
539,1.0
540,35.0
541,92.0
542,168.0
543,180.0
544,127.0
545,36.0
546,8.0
547,9.0
548,3.0
549,2.0
550,2.0
551,0.0
552,5.0
553,3.0
554,4.0
555,14.0
556,11.0
557,11.0
558,3.0
559,0.0
560,1.0
561,1.0
562,2.0
563,2.0
564,69.0
565,126.0
566,297.0
567,510.0
568,602.0
569,243.0
570,38.0
571,21.0
572,10.0
573,9.0
574,4.0
575,17.0
576,26.0
577,64.0
578,200.0
579,344.0
580,234.0
581,84.0
582,10.0
583,3.0
584,2.0
585,3.0
586,2.0
587,4.0
588,177.0
589,351.0
590,690.0
591,851.0
592,1004.0
593,412.0
594,121.0
595,47.0
596,15.0
597,22.0
598,16.0
599,14.0
600,12.0
601,13.0
602,19.0
603,33.0
604,42.0
605,15.0
606,5.0
607,1.0
608,1.0
609,1.0
610,1.0
611,1.0
612,63.0
613,59.0
614,164.0
615,231.0
616,185.0
617,97.0
618,14.0
619,5.0
620,2.0
621,2.0
622,5.0
623,8.0
624,4.0
625,0.0
626,9.0
627,66.0
628,104.0
629,46.0
630,2.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,12.0
637,51.0
638,84.0
639,59.0
640,128.0
641,77.0
642,42.0
643,19.0
644,7.0
645,3.0
646,4.0
647,6.0
648,25.0
649,28.0
650,77.0
651,77.0
652,72.0
653,31.0
654,13.0
655,10.0
656,2.0
657,3.0
658,4.0
659,9.0
660,6.0
661,9.0
662,16.0
663,26.0
664,21.0
665,7.0
666,1.0
667,5.0
668,4.0
669,5.0
670,4.0
671,4.0
672,17.0
673,40.0
674,136.0
675,398.0
676,100.0
677,37.0
678,7.0
679,2.0
680,2.0
681,1.0
682,2.0
683,3.0
684,5.0
685,3.0
686,19.0
687,18.0
688,17.0
689,12.0
690,2.0
691,2.0
692,4.0
693,1.0
694,3.0
695,10.0
696,8.0
697,21.0
698,29.0
699,57.0
700,65.0
701,25.0
702,10.0
703,9.0
704,3.0
705,7.0
706,6.0
707,8.0
708,15.0
709,33.0
710,87.0
711,143.0
712,205.0
713,81.0
714,11.0
715,11.0
716,3.0
717,6.0
718,3.0
719,3.0
720,58.0
721,223.0
722,447.0
723,447.0
724,332.0
725,123.0
726,32.0
727,22.0
728,11.0
729,10.0
730,5.0
731,14.0
732,39.0
733,77.0
734,271.0
735,685.0
736,453.0
737,94.0
738,15.0
739,3.0
740,6.0
741,2.0
742,4.0
743,4.0
744,8.0
745,19.0
746,44.0
747,94.0
748,84.0
749,32.0
750,9.0
751,7.0
752,6.0
753,2.0
754,4.0
755,7.0
756,12.0
757,21.0
758,82.0
759,95.0
760,49.0
761,24.0
762,11.0
763,10.0
764,10.0
765,5.0
766,3.0
767,6.0
768,12.0
769,31.0
770,58.0
771,69.0
772,60.0
773,18.0
774,4.0
775,3.0
776,1.0
777,5.0
778,1.0
779,6.0
780,138.0
781,283.0
782,407.0
783,414.0
784,163.0
785,63.0
786,10.0
787,9.0
788,4.0
789,8.0
790,0.0
791,3.0
792,6.0
793,10.0
794,14.0
795,22.0
796,54.0
797,28.0
798,12.0
799,5.0
800,0.0
801,2.0
802,1.0
803,1.0
804,18.0
805,64.0
806,165.0
807,310.0
808,364.0
809,161.0
810,22.0
811,13.0
812,13.0
813,10.0
814,5.0
815,7.0
816,43.0
817,94.0
818,209.0
819,221.0
820,184.0
821,81.0
822,28.0
823,16.0
824,3.0
825,4.0
826,2.0
827,11.0
828,81.0
829,195.0
830,383.0
831,233.0
832,122.0
833,34.0
834,15.0
835,7.0
836,6.0
837,3.0
838,0.0
839,3.0
840,45.0
841,39.0
842,137.0
843,352.0
844,355.0
845,97.0
846,38.0
847,9.0
848,7.0
849,3.0
850,2.0
851,15.0
852,129.0
853,324.0
854,808.0
855,1027.0
856,479.0
857,161.0
858,35.0
859,25.0
860,9.0
861,11.0
862,13.0
863,30.0
864,7.0
865,2.0
866,5.0
867,3.0
868,22.0
869,2.0
870,5.0
871,3.0
872,0.0
873,1.0
874,1.0
875,3.0
876,9.0
877,17.0
878,29.0
879,58.0
880,61.0
881,46.0
882,5.0
883,4.0
884,6.0
885,3.0
886,7.0
887,17.0
888,14.0
889,9.0
890,37.0
891,103.0
892,84.0
893,22.0
894,5.0
895,3.0
896,0.0
897,1.0
898,2.0
899,1.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,45.0
913,86.0
914,148.0
915,312.0
916,413.0
917,176.0
918,37.0
919,18.0
920,7.0
921,8.0
922,2.0
923,7.0
924,15.0
925,24.0
926,98.0
927,87.0
928,92.0
929,36.0
930,2.0
931,6.0
932,3.0
933,2.0
934,4.0
935,8.0
936,49.0
937,171.0
938,284.0
939,296.0
940,182.0
941,55.0
942,13.0
943,8.0
944,7.0
945,7.0
946,4.0
947,4.0
948,24.0
949,83.0
950,170.0
951,242.0
952,207.0
953,63.0
954,9.0
955,8.0
956,7.0
957,2.0
958,4.0
959,4.0
960,52.0
961,96.0
962,349.0
963,337.0
964,275.0
965,144.0
966,32.0
967,10.0
968,4.0
969,8.0
970,10.0
971,9.0
972,6.0
973,16.0
974,37.0
975,34.0
976,39.0
977,19.0
978,7.0
979,2.0
980,1.0
981,1.0
982,1.0
983,2.0
984,22.0
985,50.0
986,157.0
987,187.0
988,153.0
989,52.0
990,12.0
991,13.0
992,2.0
993,5.0
994,3.0
995,3.0
996,45.0
997,66.0
998,169.0
999,317.0
1000,363.0
1001,184.0
1002,53.0
1003,28.0
1004,21.0
1005,13.0
1006,7.0
1007,20.0
1008,357.0
1009,702.0
1010,1875.0
1011,2810.0
1012,1465.0
1013,506.0
1014,111.0
1015,67.0
1016,26.0
1017,24.0
1018,27.0
1019,47.0
1020,5.0
1021,15.0
1022,43.0
1023,55.0
1024,55.0
1025,32.0
1026,7.0
1027,2.0
1028,1.0
1029,0.0
1030,1.0
1031,4.0
1032,17.0
1033,26.0
1034,66.0
1035,251.0
1036,171.0
1037,53.0
1038,17.0
1039,8.0
1040,2.0
1041,4.0
1042,6.0
1043,3.0
1044,38.0
1045,53.0
1046,103.0
1047,153.0
1048,175.0
1049,63.0
1050,22.0
1051,16.0
1052,8.0
1053,8.0
1054,10.0
1055,12.0
1056,5.0
1057,20.0
1058,26.0
1059,55.0
1060,45.0
1061,16.0
1062,4.0
1063,7.0
1064,1.0
1065,0.0
1066,1.0
1067,1.0
1068,125.0
1069,356.0
1070,437.0
1071,405.0
1072,323.0
1073,114.0
1074,37.0
1075,14.0
1076,6.0
1077,7.0
1078,2.0
1079,8.0
1080,2.0
1081,12.0
1082,38.0
1083,64.0
1084,112.0
1085,51.0
1086,11.0
1087,7.0
1088,0.0
1089,1.0
1090,0.0
1091,2.0
1092,40.0
1093,41.0
1094,75.0
1095,92.0
1096,103.0
1097,24.0
1098,17.0
1099,10.0
1100,6.0
1101,4.0
1102,8.0
1103,11.0
1104,50.0
1105,210.0
1106,430.0
1107,472.0
1108,272.0
1109,91.0
1110,28.0
1111,14.0
1112,3.0
1113,9.0
1114,8.0
1115,6.0
1116,145.0
1117,300.0
1118,903.0
1119,1762.0
1120,870.0
1121,208.0
1122,39.0
1123,32.0
1124,19.0
1125,16.0
1126,26.0
1127,33.0
1128,31.0
1129,71.0
1130,134.0
1131,90.0
1132,47.0
1133,22.0
1134,2.0
1135,3.0
1136,0.0
1137,3.0
1138,1.0
1139,0.0
1140,43.0
1141,64.0
1142,127.0
1143,193.0
1144,188.0
1145,73.0
1146,37.0
1147,10.0
1148,7.0
1149,9.0
1150,6.0
1151,13.0
1152,3.0
1153,10.0
1154,32.0
1155,43.0
1156,32.0
1157,8.0
1158,4.0
1159,3.0
1160,1.0
1161,0.0
1162,0.0
1163,0.0
1164,41.0
1165,47.0
1166,139.0
1167,163.0
1168,146.0
1169,52.0
1170,8.0
1171,4.0
1172,1.0
1173,0.0
1174,2.0
1175,6.0
1176,51.0
1177,120.0
1178,341.0
1179,426.0
1180,401.0
1181,160.0
1182,12.0
1183,9.0
1184,9.0
1185,3.0
1186,4.0
1187,29.0
1188,79.0
1189,106.0
1190,333.0
1191,448.0
1192,498.0
1193,223.0
1194,84.0
1195,58.0
1196,23.0
1197,10.0
1198,22.0
1199,86.0
1200,2.0
1201,21.0
1202,41.0
1203,55.0
1204,74.0
1205,27.0
1206,2.0
1207,0.0
1208,1.0
1209,1.0
1210,0.0
1211,2.0
1212,31.0
1213,68.0
1214,168.0
1215,147.0
1216,132.0
1217,48.0
1218,9.0
1219,7.0
1220,2.0
1221,5.0
1222,1.0
1223,6.0
1224,19.0
1225,59.0
1226,112.0
1227,94.0
1228,63.0
1229,13.0
1230,3.0
1231,1.0
1232,0.0
1233,1.0
1234,0.0
1235,2.0
1236,16.0
